source	target
35429	35434
35429	35432
35429	31345
35429	35429
35424	33653
35424	31103
35424	35425
35419	35221
35419	35421
35419	35419
35411	35268
35411	35266
35411	35264
35411	35414
35411	35412
35405	32465
35405	32725
35403	35403
35392	35401
35392	30621
35392	31172
35392	31091
35392	35396
35392	33282
35392	32448
35392	31717
35384	35384
35384	35389
35384	35387
35384	35385
35156	31343
35156	31331
35156	35156
35156	31327
35156	31325
35156	30430
35156	30507
35156	30505
35156	30503
35156	31279
35156	31277
35156	33160
35156	31532
35156	33158
35156	33156
35156	31856
35156	31525
35156	34436
35156	35187
35156	31575
35156	35184
35156	31146
35156	31113
35156	35180
35156	35178
35156	31065
35156	31063
35156	32798
35156	35173
35156	35171
35156	35169
35156	35167
35156	35165
35156	34809
35156	33113
35156	33111
35156	30864
35156	30859
35156	30857
35156	30847
35156	34098
35057	31142
35031	31313
35031	35031
35031	33312
35031	30564
35031	30562
35031	30540
35031	31374
35031	30534
35019	34444
35019	35019
34868	32740
34868	32738
34868	32736
34868	34881
34868	34879
34868	34877
34868	34875
34868	31746
34868	31716
34868	31743
34868	30487
34868	30485
34868	30483
34862	34864
34862	34862
34827	34860
34827	34827
34827	30842
34827	34856
34827	34854
34827	34095
34827	30408
34827	30751
34827	30749
34827	34848
34827	31164
34827	34845
34827	34843
34827	30404
34827	34840
34827	31148
34827	34837
34827	34835
34827	34833
34827	30742
34827	30734
34827	30532
34827	30530
34827	30487
34823	34823
34823	34558
34747	34747
34747	35016
34562	35221
34562	34562
34562	31269
34562	31159
34562	33535
34562	35215
34562	31889
34562	30930
34562	30532
34562	35210
34562	35208
34562	30781
34558	34823
34558	34558
34558	31178
34558	31838
34558	31836
34558	31834
34558	31832
34558	31830
34558	31828
34558	31826
34558	31824
34558	34811
34558	34809
34527	34532
34527	34530
34527	34528
34523	34525
34523	33327
34520	34520
34495	32349
34495	34497
34495	34495
34495	30623
34495	30621
34495	32140
34495	32138
34495	32136
34495	34487
34495	34485
34495	34483
34495	30957
34495	30955
34495	30953
34495	30951
34495	30949
34495	32066
34495	32064
34495	32062
34495	32060
34473	32349
34473	34497
34473	34495
34473	34473
34473	30623
34473	30621
34473	32140
34473	32138
34473	32136
34473	34487
34473	34485
34473	34483
34473	30957
34473	30955
34473	30953
34473	30951
34473	30949
34473	32066
34473	32064
34473	32062
34473	32060
34466	32465
34466	30913
34466	30911
34466	30909
34466	30907
34466	30905
34424	34444
34424	34442
34424	34440
34424	31525
34424	31215
34424	34436
34424	34424
34424	34380
34424	34432
34424	30211
34424	34429
34424	30205
34424	30203
34424	30201
34424	30199
34416	30619
34416	33312
34399	34399
34399	34312
34399	32740
34399	32738
34399	32736
34399	32921
34399	31778
34399	31776
34399	31774
34399	31772
34399	31770
34399	31768
34399	34310
34399	34308
34399	31503
34399	31478
34390	32566
34390	32564
34390	32562
34390	32560
34390	34393
34390	34391
34382	34386
34382	34382
34382	31571
34382	31567
34380	32027
34368	34378
34368	34376
34368	34322
34368	34320
34368	34372
34368	34370
34368	34368
34329	34366
34329	34364
34329	31714
34329	33244
34329	32336
34329	31209
34329	34010
34329	31453
34329	31451
34329	32027
34329	31159
34329	31142
34329	34352
34329	32740
34329	32738
34329	32736
34329	30489
34329	34346
34329	31958
34329	30968
34329	31577
34329	34341
34329	34339
34329	30913
34329	30911
34329	30909
34329	30907
34329	30905
34329	34332
34329	30518
34329	30516
34327	31142
34324	30211
34319	34322
34319	34320
34315	31571
34315	31956
34315	31567
34307	34312
34307	34310
34307	34308
34303	30487
34303	30485
34303	30483
34214	30279
34214	30277
34214	34218
34214	34216
34214	34214
34212	30619
34150	34210
34150	31875
34150	34150
34150	34206
34150	34204
34150	34202
34150	32868
34150	34199
34150	34197
34150	32538
34150	32536
34150	32232
34150	32228
34150	34191
34150	34189
34150	34187
34150	34185
34150	34183
34150	32458
34150	32456
34150	34179
34150	34177
34150	34175
34150	34173
34150	32451
34150	34170
34150	31010
34150	32445
34150	30714
34150	30712
34150	30710
34150	30708
34150	30706
34150	30704
34150	31486
34150	34159
34150	34157
34150	30763
34150	30875
34150	31717
34150	32439
34150	34151
34135	34138
34135	34135
34135	30481
34097	30237
34097	33894
34097	31867
34097	31865
34097	31705
34097	31703
34097	31701
34097	31699
34097	31697
34097	31695
34097	31693
34097	31691
34097	31689
34097	31687
34097	31685
34097	31683
34097	31681
34097	31679
34097	31677
34097	34097
34097	34113
34097	34111
34097	34109
34097	30913
34097	30911
34097	30909
34097	30907
34097	30905
34097	34102
34097	34100
34097	34098
34092	34095
34092	34093
34090	30930
34052	31284
34052	32641
34052	33813
34052	34085
34052	34052
34052	33914
34052	33366
34052	31422
34052	34079
34052	34077
34052	34075
34052	34073
34052	30364
34052	30534
34052	34069
34052	34067
34052	34065
34052	34063
34052	34061
34052	34059
34052	34057
34052	34055
34052	34053
34022	31298
34022	31296
34022	31294
34022	31292
34022	34022
34022	32174
34022	30487
34022	30485
34022	30483
33985	33242
33985	33985
33985	33983
33985	33981
33985	33957
33914	33987
33914	33985
33914	33983
33914	33981
33914	31339
33914	32336
33914	31302
33914	31298
33914	31296
33914	31294
33914	31292
33914	33972
33914	33970
33914	33968
33914	33966
33914	33964
33914	31275
33914	31273
33914	31251
33914	30424
33914	31174
33914	33957
33914	30621
33914	33954
33914	33307
33914	30398
33914	31152
33914	31148
33914	32631
33914	31430
33914	32628
33914	30249
33914	33543
33914	32222
33914	30247
33914	30597
33914	32608
33914	31077
33914	31075
33914	31002
33914	30836
33914	33935
33914	33933
33914	30352
33914	30338
33914	32581
33914	32579
33914	30285
33914	30957
33914	30955
33914	30953
33914	30951
33914	30949
33914	31464
33914	30921
33914	30919
33914	30532
33914	30530
33914	30844
33914	30316
33914	30881
33899	33899
33899	33911
33899	33909
33899	33907
33899	33905
33899	31597
33899	33902
33899	33900
33897	33897
33894	30322
33846	33846
33846	33849
33846	33847
33844	33844
33672	33676
33672	33674
33672	33672
33672	32950
33672	31564
33663	33676
33663	33674
33663	33672
33663	33663
33663	33661
33663	33659
33663	33431
33663	33656
33659	33663
33659	33661
33656	33663
33656	33661
33656	33659
33656	33431
33656	33656
33653	33653
33653	31142
33653	30968
33653	33388
33624	31353
33624	33653
33624	31873
33624	31271
33624	31157
33624	33624
33624	31132
33624	32012
33624	33645
33624	31109
33624	33642
33624	33640
33624	33638
33624	33636
33624	31103
33624	33633
33624	33102
33624	32993
33624	32991
33624	32989
33624	33627
33624	30991
33624	30853
33622	30388
33620	30995
33613	30416
33613	33613
33613	30372
33613	30336
33613	30334
33613	30324
33546	33611
33546	33609
33546	31298
33546	31296
33546	31294
33546	31292
33546	33603
33546	33601
33546	33599
33546	33597
33546	33445
33546	33594
33546	33592
33546	33590
33546	33435
33546	33433
33546	31124
33546	33546
33546	33584
33546	33582
33546	31089
33546	33579
33546	31802
33546	33576
33546	33574
33546	33572
33546	33570
33546	33568
33546	30913
33546	30911
33546	30909
33546	30907
33546	30905
33546	33561
33546	31722
33546	30875
33546	33557
33546	30703
33546	33554
33546	30487
33546	30485
33546	30483
33546	30209
33546	30207
33546	32078
33546	32076
33535	30249
33535	33543
33535	33535
33535	30603
33535	30601
33535	30390
33535	33537
33535	30941
33532	33532
33532	32222
33522	33323
33522	32619
33522	33528
33522	33522
33522	33525
33522	32597
33522	32558
33488	31714
33488	33244
33488	33242
33488	33240
33488	30829
33488	31393
33488	31391
33488	31389
33488	31387
33488	30824
33488	30822
33488	30820
33488	30818
33488	30816
33488	30814
33488	32487
33488	32485
33488	32483
33488	32481
33488	32479
33488	32477
33488	32475
33488	32473
33488	32471
33488	32469
33488	32467
33488	32465
33488	30968
33488	31614
33488	31612
33488	31609
33488	30915
33488	32083
33383	33486
33383	33484
33383	33482
33383	33480
33383	30679
33383	30677
33383	30675
33383	30673
33383	32651
33383	33473
33383	30221
33383	33470
33383	31705
33383	31703
33383	31701
33383	31699
33383	31697
33383	31695
33383	31693
33383	31691
33383	31689
33383	31687
33383	31685
33383	31683
33383	31681
33383	31679
33383	31677
33383	33453
33383	32882
33383	32880
33383	32878
33383	32876
33383	33447
33383	33445
33383	33443
33383	33441
33383	33439
33383	33437
33383	33435
33383	33433
33383	33431
33383	33429
33383	33427
33383	30213
33383	33424
33383	33422
33383	33383
33383	33419
33383	33417
33383	31571
33383	33414
33383	33412
33383	31004
33383	33409
33383	33407
33383	33405
33383	30542
33383	33402
33383	30538
33383	30536
33383	33398
33383	33396
33383	33394
33383	33392
33383	33390
33383	33388
33383	33386
33383	33384
33376	33376
33374	33376
33374	33374
33356	32538
33356	32536
33356	33370
33356	33368
33356	33366
33356	33364
33356	33362
33356	33360
33356	33358
33356	30591
33353	33353
33353	33102
33251	33172
33251	33170
33251	33168
33251	33166
33251	33346
33251	30430
33251	33343
33251	30683
33251	30681
33251	30665
33251	30663
33251	30661
33251	33336
33251	33334
33251	33332
33251	33330
33251	31856
33251	33327
33251	33325
33251	33323
33251	33321
33251	33319
33251	33317
33251	30653
33251	33314
33251	33312
33251	33310
33251	32236
33251	33307
33251	33305
33251	33303
33251	31159
33251	31430
33251	30742
33251	33298
33251	33251
33251	31808
33251	31806
33251	32204
33251	32202
33251	32196
33251	32192
33251	32190
33251	32188
33251	32186
33251	32184
33251	33090
33251	33088
33251	33086
33251	33282
33251	30552
33251	33279
33251	33277
33251	32720
33251	32716
33251	31653
33251	31651
33251	33271
33251	33269
33251	33267
33251	32448
33251	33264
33251	30332
33251	30957
33251	30955
33251	30953
33251	30951
33251	30949
33251	30928
33251	30534
33251	30532
33251	30530
33251	30765
33251	30487
33244	31714
33244	33244
33244	32465
33242	35382
33242	35380
33242	35378
33242	35376
33242	35374
33242	35372
33242	30697
33242	35369
33242	35367
33242	35365
33242	33242
33242	35362
33242	33240
33242	32098
33209	31714
33209	33244
33209	33242
33209	33240
33209	30829
33209	31393
33209	31391
33209	31389
33209	31387
33209	30824
33209	30822
33209	30820
33209	30818
33209	30816
33209	30814
33209	32487
33209	32485
33209	32483
33209	32481
33209	32479
33209	32477
33209	32475
33209	32473
33209	32471
33209	32469
33209	32467
33209	32465
33209	33209
33209	30968
33209	31614
33209	31612
33209	31609
33209	30915
33209	32083
33201	31778
33201	31776
33201	31774
33201	31772
33201	31770
33201	31768
33201	31478
