source	target	status_interaction
33172	33185	New
33172	31284	New
33172	31282	New
33172	31280	New
33172	31278	New
33172	31276	New
33172	31274	New
33172	31272	New
33172	33176	New
33172	33174	New
33172	30798	New
33154	28193	New
33154	28191	New
33154	27674	New
33154	27672	New
33154	27670	New
33154	25884	New
33154	25882	New
33154	25880	New
33154	29922	New
33154	32525	New
33154	32523	New
33138	33138	New
33138	26811	Known
33138	26809	Known
33120	29294	New
33120	33120	New
33120	33134	New
33120	30577	New
33120	29718	New
33120	30574	New
33120	27923	New
33120	27921	New
33120	27919	New
33120	27917	New
33120	27915	New
33120	32606	New
33120	32604	New
33120	26541	New
33120	26811	New
33120	26809	New
33114	33112	New
33114	33110	New
33110	33112	New
33110	33110	New
33103	26745	New
33103	26743	New
33103	26741	New
33103	26739	New
33103	26737	New
33103	26735	New
33099	31017	New
33099	31015	New
33099	31013	New
33084	31791	Known
33084	31789	Known
33084	31787	Known
33084	31785	Known
33084	31783	Known
33084	31781	Known
33084	33091	Known
33084	33089	Known
33084	33087	Known
33084	33085	Known
32967	29290	Known
32967	29268	New
32967	29266	New
32967	29264	New
32967	29262	New
32967	29260	New
32967	29258	Known
32967	31901	New
32967	33073	New
32967	33071	New
32967	33069	New
32967	33067	New
32967	33065	New
32967	33063	New
32967	33061	New
32967	33059	New
32967	33057	New
32967	33055	New
32967	33053	New
32967	32007	Known
32967	26338	New
32967	25976	New
32967	25974	New
32967	33047	Known
32967	31481	Known
32967	27306	Known
32967	29131	Known
32967	29129	Known
32967	29127	Known
32967	29125	Known
32967	29123	Known
32967	29121	Known
32967	27256	New
32967	27254	Known
32967	27252	Known
32967	27250	Known
32967	27248	Known
32967	27246	Known
32967	27244	Known
32967	27242	Known
32967	27240	Known
32967	30071	Known
32967	28121	Known
32967	32190	Known
32967	27726	New
32967	27724	New
32967	33023	New
32967	33021	Known
32967	25818	New
32967	26282	Known
32967	31370	Known
32967	33016	Known
32967	33014	Known
32967	33012	Known
32967	33010	Known
32967	33008	Known
32967	27760	Known
32967	27758	Known
32967	27756	Known
32967	29481	Known
32967	33002	Known
32967	33000	Known
32967	32998	Known
32967	27567	New
32967	32995	Known
32967	31329	Known
32967	31327	Known
32967	26978	Known
32967	26976	Known
32967	26974	Known
32967	26972	Known
32967	26970	Known
32967	26968	Known
32967	28240	New
32967	30186	New
32967	30184	New
32967	27933	New
32967	27931	New
32967	27929	Known
32967	27927	Known
32967	32978	New
32967	29436	New
32967	29434	Known
32967	26090	Known
32967	27353	Known
32967	26224	Known
32967	26222	Known
32967	25886	New
32967	30156	Known
32967	25854	Known
32967	25852	Known
32956	32965	Known
32956	32963	Known
32956	32961	Known
32956	32959	Known
32956	29327	Known
32956	29325	Known
32925	32954	Known
32925	32952	Known
32925	32950	Known
32925	32948	Known
32925	30030	Known
32925	26384	Known
32925	32877	Known
32925	26435	Known
32925	26433	Known
32925	29862	New
32925	29860	Known
32925	25661	Known
32925	27953	Known
32925	27951	Known
32925	26728	Known
32925	30180	Known
32925	30178	Known
32925	32933	Known
32925	32931	Known
32925	26086	Known
32925	26084	Known
32925	27800	Known
32925	32926	New
32906	32909	New
32906	26796	New
32906	26794	New
32860	32904	Known
32860	32902	Known
32860	32900	Known
32860	32898	Known
32860	32896	Known
32860	32894	Known
32860	32642	New
32860	32891	New
32860	31700	Known
32860	28157	Known
32860	32887	Known
32860	32885	Known
32860	30464	Known
32860	30462	Known
32860	30460	Known
32860	30447	Known
32860	28030	Known
32860	30970	Known
32860	32877	Known
32860	26435	Known
32860	26433	Known
32860	32873	Known
32860	32871	Known
32860	25896	Known
32860	25894	Known
32860	25892	Known
32860	25890	Known
32860	26720	Known
32860	26086	Known
32860	26084	Known
32860	26826	Known
32860	30413	Known
32860	25653	New
32852	32858	New
32852	32856	New
32852	32852	New
32852	32853	New
32756	32576	New
32756	32574	New
32756	32572	New
32756	26959	New
32756	32759	Known
32756	32757	Known
32642	32754	New
32642	32752	New
32642	28573	Known
32642	26377	New
32642	26375	New
32642	26373	New
32642	32746	Known
32642	32744	New
32642	32742	New
32642	32740	New
32642	32738	New
32642	32642	Known
32642	32735	New
32642	30282	Known
32642	32732	Known
32642	31921	Known
32642	31919	Known
32642	32619	Known
32642	32727	New
32642	32725	Known
32642	32413	New
32642	32722	New
32642	32720	New
32642	32718	New
32642	32716	Known
32642	32714	Known
32642	32712	New
32642	28107	Known
32642	26278	New
32642	28489	New
32642	28487	New
32642	28485	New
32642	32705	New
32642	31367	Known
32642	32702	New
32642	32700	Known
32642	32698	Known
32642	29620	New
32642	31859	New
32642	26272	New
32642	26270	New
32642	26268	New
32642	26266	Known
32642	32690	Known
32642	32162	Known
32642	32160	Known
32642	32158	Known
32642	32336	New
32642	32684	New
32642	26471	New
32642	26469	New
32642	26730	New
32642	26728	New
32642	26726	Known
32642	27344	Known
32642	32676	Known
32642	32674	Known
32642	32672	Known
32642	32025	Known
32642	32669	New
32642	32667	New
32642	32665	Known
32642	26420	New
