source	target	status_interaction
48165	48166	Known
48163	48163	New
48159	48159	Known
48159	48160	Known
48149	41864	Known
48149	41862	Known
48149	41860	Known
48149	41858	Known
48149	43211	Known
48149	43209	Known
48130	48147	New
48130	48145	New
48130	43554	New
48130	43552	New
48130	43550	New
48130	43509	New
48130	43507	New
48130	48138	New
48130	48136	New
48130	45833	New
48130	44919	New
48130	47779	New
48130	42599	New
48130	47776	New
48121	48128	Known
48121	48126	Known
48121	48121	Known
48121	48123	Known
48121	46765	Known
48116	48119	Known
48116	48117	Known
48113	48113	Known
48113	42609	Known
47954	47960	New
47954	47954	Known
47954	47957	Known
47954	47955	Known
47923	47939	Known
47923	47923	Known
47923	46644	Known
47923	46642	Known
47923	46640	Known
47923	46638	Known
47923	46636	Known
47923	46634	Known
47923	46632	Known
47923	46630	Known
47923	46628	Known
47923	46626	Known
47923	41392	New
47923	41390	New
47923	46201	Known
47923	42899	New
47919	43264	Known
47919	46623	Known
47919	46621	Known
47909	46611	Known
47909	46609	Known
47909	46607	Known
47909	46605	Known
47904	46585	Known
47904	46583	Known
47904	46581	Known
47904	46579	Known
47887	47891	Known
47887	47889	Known
47887	47887	Known
47875	47359	Known
47875	47357	Known
47875	46566	Known
47875	46564	Known
47875	46562	Known
47875	42110	New
47875	42108	New
47875	42106	New
47875	42104	Known
47875	43291	Known
47875	43289	Known
47861	47870	Known
47861	47861	Known
47861	47699	Known
47861	42074	Known
47861	41496	Known
47861	42025	Known
47861	42023	Known
47861	42007	Known
47861	42003	Known
47743	47743	Known
47743	42647	Known
47743	42645	Known
47743	42167	Known
47743	42165	Known
47743	42163	Known
47743	42161	Known
47743	42159	Known
47743	42157	Known
47743	45561	Known
47743	45559	Known
47743	45557	Known
47743	42013	Known
47743	42611	Known
47743	42215	Known
47743	42604	Known
47743	42948	Known
47743	42602	Known
47743	42600	Known
47723	47723	Known
47723	45627	Known
47723	45625	Known
47723	45109	Known
47723	45112	Known
47723	45110	Known
47723	47735	New
47723	47733	New
47723	47731	Known
47723	47729	Known
47723	47727	Known
47723	42589	New
47723	42585	New
47723	42586	Known
47719	45010	New
47719	43471	New
47719	46260	New
47413	43581	New
47413	47716	New
47413	43579	New
47413	46902	New
47413	47712	Known
47413	47710	Known
47413	46603	Known
47413	46601	Known
47413	43573	Known
47413	43571	Known
47413	46597	Known
47413	47703	Known
47413	47701	Known
47413	47699	New
47413	47697	Known
47413	47695	Known
47413	47693	Known
47413	44682	Known
47413	47690	Known
47413	45988	New
47413	47687	New
47413	47685	New
47413	47683	New
47413	47681	Known
47413	46433	New
