id_node	label	x	y
48166	NP_390269.1	1981.0843435572015	6563.676217432876
48165	YP_054586.1	1997.0843435572015	6483.676217432876
48163	YP_054572.1	2568.0843435572015	6504.676217432876
48160	NP_388070.1	2141.0843435572015	6483.676217432876
48159	YP_003097670.1	2139.0843435572015	6561.676217432876
48149	NP_391967.1	2321.7001146487337	-171.00014863595243
48147	NP_391552.1	-192.03515856503145	-2755.5001486359524
48145	NP_391551.1	-314.7998853512654	-2632.7354218497185
48138	NP_389314.1	-437.56461213749935	-2755.5001486359524
48136	NP_389313.1	-314.7998853512654	-2878.2648754221864
48130	NP_391960.1	-314.7998853512654	-2755.5001486359524
48128	NP_391953.1	733.6265695590591	-163.3175207214872
48126	NP_391952.1	917.7736597384101	-57.00014863595243
48123	NP_391095.1	733.6265695590591	49.31722344958234
48121	NP_391951.1	795.0089329521761	-57.00014863595243
48119	NP_391936.1	186.08434355720146	6483.676217432876
48117	NP_389227.1	83.08434355720146	6647.676217432876
48116	NP_391936.1-NP_389227.1	134.08434355720146	6565.676217432876
48113	NP_391934.1	379.7001146487346	-1604.0001486359524
48111	YP_003097777.1	-1239.6623847915434	-4013.3187404492787
48090	NP_391360.1	-1514.1726591247525	-3635.4877618734677
48087	NP_391240.1	-1636.9373859109864	-3724.6815568226257
48077	NP_391008.2	-1239.6623847915434	-3724.6815568226257
48073	NP_390929.1	-1499.6822487443824	-3762.682776550417
48054	NP_390203.1	-1636.9373859109864	-4013.3187404492787
48052	NP_390202.1	-1362.4271115777783	-4102.512535398437
48047	NP_390172.1	-1192.7704317787966	-3869.0001486359524
48045	NP_390171.1	-1362.4271115777783	-3635.4877618734677
48043	NP_390170.1	-1376.9175219581484	-3762.6827765504177
48041	NP_390165.1	-1561.0646121374994	-3869.000148635952
48039	NP_390121.1	-1376.9175219581484	-3975.317520721487
48036	NP_389720.2	-1315.5351585650305	-3869.0001486359524
48023	NP_389265.1	-1683.8293389237342	-3869.000148635952
48021	NP_389092.1	-1514.1726591247525	-4102.512535398437
48009	NP_388475.1	-1499.6822487443824	-3975.317520721487
47962	NP_389854.1	-619.2998853512654	-1244.0001486359524
47960	YP_003097799.1	-1367.7685662634476	6589.993589518412
47957	NP_391892.1	-1551.9156564427985	6696.310961603947
47955	NP_391891.1	-1551.9156564427985	6483.676217432876
47954	NP_391893.1	-1490.5332930496816	6589.993589518412
47945	NP_391716.1	-5922.9156564427985	6483.676217432876
47943	NP_390263.1	-5647.9156564427985	6739.676217432876
47939	NP_391857.1	2370.7001146487337	409.9998513640476
47923	NP_391856.1	2360.7001146487337	373.9998513640476
47919	NP_391822.1	493.7001146487346	186.99985136404757
47909	NP_391787.2	1554.7001146487337	-40.00014863595243
47904	NP_391739.1	2375.7001146487337	544.9998513640476
47891	NP_391712.2	-37.915656442798536	6483.676217432876
47889	NP_391711.1	-134.91565644279854	6650.676217432876
47887	NP_391710.1	-86.91565644279854	6567.676217432876
47875	NP_391686.1	421.7001146487346	114.99985136404757
47870	NP_391742.1	-79.2998853512654	1423.9998513640476
47861	NP_391642.1	-156.2998853512654	1423.9998513640476
47857	NP_391880.2	-1812.6822487443824	-2689.317520721487
47819	NP_390257.2	-1689.9175219581484	-2689.317520721487
47811	NP_389788.1	-1628.5351585650315	-2583.0001486359524
47798	NP_389342.1	-1689.9175219581484	-2476.6827765504177
47796	NP_389341.1	-1812.6822487443824	-2476.6827765504177
47779	NP_388479.1	-601.2998853512654	-3044.0001486359524
47776	NP_388477.1	-940.2998853512654	-2661.0001486359524
47764	NP_387885.1	-1874.0646121374994	-2583.0001486359524
47743	NP_391610.1	-42.2998853512654	-1047.0001486359524
47735	NP_389570.1	-5107.873917909751	6769.176217432876
47733	NP_389569.2	-5192.702257809242	6885.932410814119
47731	NP_389568.2	-5329.957394975846	6841.33551333954
47729	NP_389566.2	-5329.957394975846	6697.016921526212
47727	NP_389564.2	-5192.702257809242	6652.420024051633
47723	NP_391541.1	-5230.638644695985	6769.176217432876
47719	NP_391525.1	760.7001146487346	1856.9998513640476
47716	YP_009513945.1	-6303.226088241763	1143.1988155705749
47712	NP_391974.1	-6177.890111584022	886.8172234495823
47710	NP_391933.1	-5780.017143901994	1356.3878213924327
47703	NP_391703.2	-5816.368297051741	335.60490885996296
47701	NP_391702.1	-5675.194451618972	1022.5647954117394
47699	NP_391578.1	-2047.2998853512654	689.9998513640476
47697	NP_391577.1	-6705.016143123221	1180.3276757513713
47695	NP_391556.1	-6448.355188578028	336.1764678249092
47693	NP_391107.1	-5808.95427435099	543.9304186466034
47690	NP_390794.1	-6208.438631078011	1270.5897659274715
47687	NP_390777.1	-6303.226088241764	417.80088715752026
47685	NP_390776.1	-6055.125384797788	1099.4519676206519
47683	NP_390775.1	-6451.907219148208	657.7351245778136
47681	NP_390774.2	-6116.507748190905	993.1345955351171
47674	NP_390716.1	-6705.016143123222	380.67202697672474
47672	NP_390676.1	-6146.322526311162	173.7546324991099
47670	NP_390675.1	-5675.194451618974	538.4349073163503
47668	NP_390647.1	-5735.468476897435	1131.1577831029063
47666	NP_390646.1	-6146.322526311158	1387.2450702289843
47664	NP_390645.1	-6726.459235967051	842.0458520670754
47661	NP_390420.2	-5763.641086394324	658.3784671548783
47657	NP_390391.1	-6552.285202771096	1158.867242302228
47655	NP_390386.1	-6175.318861712515	417.80088715752026
47653	NP_390385.1	-6175.318861712514	1143.1988155705749
47634	NP_390184.1	-6270.362131849311	1393.5356470628285
47632	NP_390183.1	-6726.459235967051	718.9538506610188
47630	NP_390182.1	-6087.526927430163	313.47507783907895
47628	NP_390181.1	-5808.954274350991	1017.0692840814936
47626	NP_390180.1	-6331.287738536987	1262.8607552092817
47624	NP_390179.1	-6607.5666553358415	780.4998513640476
47622	NP_390161.1	-6055.125384797789	461.54773510744235
47618	NP_390133.1	-6239.272474977139	534.9703977915788
47615	NP_389792.1	-6177.890111584022	674.1824792785128
47612	NP_389730.2	-5502.684114259733	780.4998513640476
47602	NP_389624.2	-6393.128923182237	1374.7284663921191
47582	NP_389419.1	-6403.178804945326	1498.620404015699
47579	NP_389409.2	-6849.946778348198	718.4003443230031
47577	NP_389408.2	-6393.128923182239	186.27123633597603
47575	NP_389407.1	-5735.468476897438	429.84191962518344
47568	NP_389388.2	-6695.847500026483	599.7290108294901
47566	NP_389387.1	-5976.1499546157775	365.88510299507743
47564	NP_389386.1	-5881.305937452636	1116.6528050906181
47562	NP_389367.1	-6448.355188578029	1224.823234903186
47560	NP_389366.1	-6585.355798538606	654.5358230117545
