source	target	status_interaction
57595	57595	New
57595	56422	New
57595	57607	New
57595	56369	New
57595	56329	New
57595	57603	New
57595	57601	New
57595	56766	New
57595	55972	New
57595	56546	New
57595	56475	New
57595	56762	New
57578	56400	New
57578	56378	New
57578	56369	Known
57578	56342	New
57578	56329	Known
57578	57585	Known
57578	56846	Known
57578	55988	Known
57578	56221	New
57578	55616	New
57578	56176	Known
57578	56114	Known
57554	57554	Known
57554	57569	Known
57554	57567	Known
57554	57565	New
57554	57563	New
57554	57561	Known
57554	57559	Known
57554	55778	Known
57554	55664	Known
57554	57555	Known
57536	57536	New
57536	57239	New
57536	57550	New
57536	57548	New
57536	57284	New
57536	57545	New
57536	57377	New
57536	57542	New
57536	57540	New
57536	55270	New
57536	57108	New
57536	57347	New
57488	56430	New
57488	57533	Known
57488	57531	Known
57488	55492	Known
57488	55755	New
57488	55849	Known
57488	55748	New
57488	55603	Known
57488	56040	Known
57488	55847	Known
57488	55601	Known
57488	57521	Known
57488	56323	Known
57488	56036	Known
57488	55595	Known
57488	56314	Known
57488	56031	Known
57488	56027	Known
57488	55731	Known
57488	55585	New
57488	56272	Known
57488	55998	Known
57488	55845	Known
57488	55993	Known
57488	57049	Known
57488	56244	Known
57488	55976	Known
57488	55306	Known
57488	55955	Known
57488	56186	Known
57488	57501	New
57488	55566	New
57488	57498	Known
57488	55839	Known
57488	55842	Known
57488	56142	New
57488	55840	Known
57488	55936	Known
57488	55649	Known
57488	57490	Known
57488	55546	Known
57437	57437	New
57437	55125	New
57437	55123	New
57437	55121	New
57437	57094	Known
57437	55119	New
57437	55117	New
57437	57476	Known
57437	55115	New
57437	57473	Known
57437	57471	Known
57437	57469	New
57437	57467	New
57437	55113	New
57437	57090	Known
57437	56950	New
57437	55380	New
57437	57461	Known
57437	55111	New
57437	57458	Known
57437	57456	Known
57437	57454	New
57437	57452	Known
57437	57450	Known
57437	55248	New
57437	57447	Known
57437	57445	New
57437	56951	Known
57437	57029	New
57437	55170	New
57437	55652	Known
57437	57439	Known
57437	55109	New
57433	57433	New
57433	57434	New
57429	57429	New
57429	57430	New
57327	56755	New
57327	56430	New
57327	57425	Known
57327	57423	Known
57327	55768	New
57327	57420	New
57327	57327	Known
57327	57239	New
57327	56751	New
57327	57415	Known
57327	57413	Known
57327	56749	New
57327	56747	New
57327	57185	New
57327	57408	New
57327	57406	New
57327	57404	New
