id_node	label	x	y
80357	YP_177807.1	1646.6908052339122	-371.22418139321417
80355	YP_177730.1	1462.5437150545595	-477.54155347874894
80353	YP_177622.1	1401.1613516614425	-583.8589255642837
80351	NP_218336.1	1462.5437150545595	-690.1762976498185
80349	NP_218335.1	1471.5123517329366	-219.31344892527613
80347	NP_218334.1	1170.5504001703912	-687.6193866665599
80345	NP_218333.1	1471.5123517329366	-948.4044022032913
80343	NP_218000.1	1833.7548587955998	-782.9737922975528
80341	NP_217999.1	1833.7548587955998	-384.74405883101554
80335	NP_217925.1	1278.3966248752085	-583.8589255642837
80333	NP_217924.1	1311.291334276607	-706.6236523505186
80330	NP_217425.1	1646.6908052339104	-796.4936697353533
80328	NP_217424.1	1769.4555320201462	-583.8589255642837
80324	NP_217297.1	1585.3084418407934	-477.54155347874894
80319	NP_216839.1	1585.3084418407934	-690.1762976498185
80317	NP_216836.1	1282.7446811902	-305.5207555210436
80315	NP_216714.1	1282.7446811902	-862.1970956075238
80313	NP_216713.1	1676.9210101699055	-918.8710957214271
80310	NP_216029.1	1892.2202588063801	-583.8589255642837
80308	NP_216028.1	1676.9210101699073	-248.84675540714034
80306	NP_216027.1	1401.1613516614425	-371.22418139321417
80304	NP_215909.1	1311.291334276607	-461.09419877804976
80301	NP_215779.1	1401.1613516614425	-796.4936697353533
80299	NP_215778.1	1523.9260784476764	-829.3883791367525
80297	NP_215777.1	1736.560822618746	-706.6236523505186
80295	NP_215770.1	1736.560822618746	-461.09419877804976
80293	NP_215769.1	1523.9260784476764	-338.3294719918149
80287	NP_214986.1	1646.6908052339104	-583.8589255642837
80285	NP_214985.1	1170.5504001703912	-480.09846446200754
80283	NP_218372.1	6275.885329488386	-1188.3589255642837
80280	YP_004837054.1	123.1500562746196	-943.8589255642837
80273	NP_216524.1	0.3853294883856506	-821.0941987780498
80271	NP_216498.1	-122.3793972978483	-943.8589255642837
80267	NP_215518.1	0.3853294883856506	-1066.6236523505177
80260	NP_218350.1	-277.11467051161435	-1487.3589255642837
80257	NP_218095.1	436.88532948838565	-1137.3589255642837
80255	NP_218261.1	474.88532948838565	-1101.3589255642837
80240	NP_218209.1	-610.1146705116143	-1109.3589255642837
80231	NP_218198.2	108.88532948838565	-258.3589255642837
80221	YP_178025.1	-4180.368138820798	-1272.7282239307342
80219	YP_178002.1	-5154.165901637289	-1193.0738538427686
80217	YP_178001.1	-4143.073944222179	-1063.59846354217
80215	YP_178000.1	-4229.520713605807	-47.922442802223486
80212	YP_177959.1	-5091.891143633549	-1086.2557620359812
80210	YP_177891.1	-4152.088001716968	-842.923869611981
80208	YP_177880.2	-4502.98185269054	-25.244504083058928
80203	YP_177831.1	-4285.847824448983	-837.4283582817279
80197	YP_177752.1	-4780.119638339756	-238.1599613577573
80193	YP_177727.1	-4470.636571502664	-600.8589255642837
80191	YP_177704.1	-4777.54838846825	-707.1762976498185
80187	YP_007412423.1	-5047.780863459217	-1258.5777196608587
80181	NP_218374.1	-5326.436589450207	-188.38801580011295
80179	NP_218373.1	-4502.981852690544	-1176.4733470455094
80176	NP_218362.1	-4623.216076409152	5.886293300653051
80174	NP_218361.1	-5172.741050124477	-420.08808502972715
80171	NP_218246.1	-4240.534636492318	-722.980309773453
80169	NP_218214.1	-4925.248738676022	-156.53554202514533
80167	NP_218213.1	-4532.018934895782	-919.8110418208889
80165	NP_218207.1	-4900.313115254484	-281.9068093076794
80162	NP_218184.1	-4593.401298288898	-813.4936697353533
80159	NP_218162.1	-4654.783661682015	-707.1762976498185
80157	NP_218152.1	-3856.8129375714925	-600.8589255642837
80155	NP_218144.1	-4931.855870150451	-1305.1602132783837
80153	NP_218143.1	-4073.1139905785703	-960.0893447581311
80151	NP_218142.1	-4329.967382567515	26.36752610180156
80149	NP_218141.1	-5252.860642312422	-302.9691113695262
80132	NP_217952.1	-1201.8517724462226	618.4760431562527
80130	NP_217951.1	-1324.6160384929726	618.13970270133
80127	NP_217949.1	-1324.9523789478953	740.903968748079
80120	NP_217841.3	-3990.1728173751208	-476.3748883635162
80116	NP_217834.1	-4986.490363546276	-1151.9525706034974
80114	NP_217833.1	-4114.907396991141	-724.4207146700783
80112	NP_217831.1	-4747.255681947304	12.176870134498131
80110	NP_217820.1	-5203.352786065046	-539.3129248612559
80108	NP_217819.1	-4685.332181176003	-1090.9488401277076
80106	NP_217814.1	-4240.534636492318	-478.7375413551126
80104	NP_217813.1	-5062.249348636599	-474.8948972119906
80102	NP_217812.1	-4370.082701513665	-474.8948972119906
80097	NP_217774.1	-4503.531280904062	-478.09419877804976
80095	NP_217773.1	-4593.401298288898	-600.8589255642837
80093	NP_217772.1	-5387.366325049125	-297.4572603427887
80087	NP_217630.1	-4441.524283324069	82.61333197971999
80085	NP_217629.1	-5301.839250714996	-417.10276555579276
80075	NP_217579.1	-4225.107117930195	-600.8589255642837
80071	NP_217548.1	-4434.03631477829	-837.5938614185188
80069	NP_217547.1	-4838.930751861367	-388.22418139321417
80064	NP_217498.1	-4777.548388468249	-494.54155347874894
80060	NP_217434.1	-5428.986850069102	-786.4630327367049
80058	NP_217376.1	-4441.524283324065	-1284.3311831082856
80056	NP_217375.1	-4021.6534731655374	-355.4720302654987
80054	NP_217374.1	-5047.780863459219	56.85986853228951
80052	NP_217373.1	-4870.022473280233	-1195.0875405923553
80048	NP_217301.1	-4870.02247328023	-6.630310536212164
80045	NP_217244.1	-1447.3803045397226	617.8033622464072
80043	NP_217243.1	-1324.27969803805	495.37543665457997
80041	NP_217242.1	-5029.178752869089	-222.4915346261032
80039	NP_217241.1	-4370.082701513666	-726.8229539165786
80022	NP_217099.1	-5154.1659016372905	-8.643997285800651
80009	NP_216987.1	-4998.295735371975	-364.1239897100504
80007	NP_216971.1	-4347.871844716429	-600.8589255642837
80005	NP_216970.1	-4928.8007692462015	-478.09419877804976
80003	NP_216969.1	-4838.930751861367	-813.4936697353533
80001	NP_216968.1	-4593.401298288898	-388.22418139321417
79998	NP_216952.1	-4907.390076704684	236.9483858626436
79996	NP_216923.1	-5387.3663250491245	-904.2605907857815
79994	NP_216922.1	-4329.967382567511	-1228.0853772303672
79989	NP_216858.1	-5326.840328446191	-538.7594185232383
79986	NP_216810.1	-4102.342391143961	-600.8589255642837
79984	NP_216809.1	-4986.490363546274	-49.7652805250691
79982	NP_216764.1	-5203.352786065046	-662.4049262673125
79978	NP_216756.2	-4285.847824448984	-364.2894928468377
79976	NP_216755.1	-5084.460205433835	-600.8589255642837
79974	NP_216754.1	-4434.036314778289	-364.1239897100504
79958	NP_216595.1	-5247.950480831037	-91.18480834745787
79956	NP_216594.1	-4747.2556819473075	-1213.8947212630655
79954	NP_216593.1	-4114.90739699114	-477.2971364584955
79948	NP_216493.1	-4564.420477528156	-1067.8836990892523
79946	NP_216492.1	-4358.199487550629	-264.70597183771224
79931	NP_216296.1	-4809.725872704381	-1331.4812411665016
79929	NP_216295.1	-4021.6534731655356	-846.2458208630633
79927	NP_216276.1	-4560.982126951841	119.19688540290372
79918	NP_216097.1	-5172.741050124477	-781.6297660988412
79916	NP_216096.1	-4453.04350471377	-1015.4736739332538
79914	NP_216095.1	-4453.043504713772	-186.24417719531266
79912	NP_216082.1	-5062.249348636599	-726.8229539165768
79905	NP_216054.1	-4716.166025075132	-355.3294719918158
79902	NP_215990.1	-5490.416403451735	-227.99959473598574
79895	NP_215925.1	-4684.904328786007	135.06574414687657
79893	NP_215924.1	-5326.840328446191	-662.9584326053273
79891	NP_215923.1	-4391.475414037434	-1121.7768276145343
79889	NP_215922.1	-4212.362026995429	-250.20099382542503
79887	NP_215921.1	-5181.909693221214	-201.03110117695996
79885	NP_215908.1	-4925.248738676021	-1045.182309103422
79882	NP_215772.1	-4564.420477528157	-133.8341520393151
79880	NP_215771.1	-4998.295735371976	-837.593861418517
79868	NP_215729.1	-5428.986850069103	-415.25481839186614
79866	NP_215728.1	-4684.904328786003	-1336.783595275444
79860	NP_215691.1	-5301.839250714996	-784.6150855727738
79853	NP_215675.1	-5113.441026194575	-889.4961091909372
79851	NP_215674.1	-4358.199487550628	-937.0118792908534
79849	NP_215673.1	-4685.332181176004	-110.76901100085979
79847	NP_215657.1	-4900.313115254484	-919.811041820888
79840	NP_215608.1	-4654.783661682015	-494.54155347874894
79837	NP_215511.1	-5490.416403451735	-973.7182563925808
79835	NP_215508.1	-5326.436589450205	-1013.3298353284572
79827	NP_215465.1	-4623.216076409155	-1207.6041444292214
79825	NP_215421.1	-4152.088001716966	-358.7939815165919
79823	NP_215420.1	-5091.891143633548	-115.4620890925853
79821	NP_215419.1	-5029.178752869088	-979.2263165024651
79812	NP_215367.2	-4961.695478647601	-600.8589255642837
79810	NP_215366.1	-4716.166025075132	-846.3883791367525
79804	NP_215244.1	-5450.100817783612	-538.3918686757461
79802	NP_215243.1	-4560.982126951836	-1320.9147365314702
79800	NP_215242.1	-3990.172817375119	-725.3429627650457
79798	NP_215241.1	-4809.7258727043845	129.76339003793328
79796	NP_215195.1	-5252.860642312423	-898.7487397590403
79794	NP_215194.1	-4293.261847149734	-1045.7538680683674
79792	NP_215172.1	-4293.261847149731	-155.96398306020365
79773	NP_214991.1	-4907.390076704685	-1438.666236991211
79771	NP_214990.1	-5247.950480831035	-1110.5330427811123
79769	NP_214989.1	-4229.5207136058025	-1153.7954083263403
79767	NP_214977.1	-4073.113990578573	-241.62850637043175
79764	NP_214975.1	-5181.909693221215	-1000.6867499516065
79762	NP_214974.1	-4212.362026995432	-951.5168573031478
79760	NP_214973.1	-4391.475414037431	-79.9410235140358
79758	NP_214972.1	-5113.441026194576	-312.2217419376311
79756	NP_214971.1	-4808.181288634979	-1083.2198294095188
79751	NP_214943.1	-4780.119638339757	-963.5578897708101
79749	NP_214942.1	-4532.018934895781	-281.9068093076794
79747	NP_214923.1	-4928.8007692462015	-723.6236523505186
79745	NP_214922.1	-4503.531280904062	-723.6236523505186
79743	NP_214877.1	-4838.930751861367	-600.8589255642837
79740	NP_214808.1	-5450.100817783611	-663.325982452825
79735	NP_214736.1	-4143.073944222183	-138.1193875863937
79721	NP_214648.1	-4808.18128863498	-118.49802171904958
79719	NP_214624.1	-4652.2124118105085	-963.557889770811
79717	NP_214618.1	-4652.212411810508	-238.1599613577573
79710	NP_214589.1	-4180.368138820797	71.01037280216497
79704	NP_214563.1	-3979.5776643577265	-600.8589255642837
79702	NP_214533.1	-4931.8558701504535	103.44236214981538
79694	NP_218193.1	-4716.166025075132	-600.8589255642837
79683	NP_217848.1	-120.10748020934716	-2404.340491091785
79681	NP_217793.1	-18.870608206138968	-2473.7830852966736
79679	NP_217792.1	22.214408947254014	-2589.4688644936177
79677	NP_217791.1	103.84907445638146	-2470.4577837902043
79674	NP_217435.1	15.889309614506601	-2356.0421567458898
79667	NP_215472.1	49.267692881502626	1160.958446521251
79665	NP_215471.1	-73.49703390473132	1160.958446521251
79663	NP_215324.1	-134.8793972978483	1054.6410744357163
79661	NP_215323.1	-73.49703390473132	948.3237023501815
79655	NP_215291.1	49.267692881502626	948.3237023501815
79653	NP_215286.1	110.6500562746196	1054.6410744357163
79650	NP_214992.1	-116.19835383949066	-2548.6061303618694
79647	NP_218092.1	-12.11467051161435	1054.6410744357163
79644	YP_177985.1	455.71233007556475	-4989.481938724591
79642	YP_177984.1	971.9007312495514	-5263.147708898477
79640	YP_177983.1	1494.5970792483831	-4819.16542911505
79638	YP_177977.1	1494.597079248385	-4575.552422013522
79636	YP_177738.1	1206.6340424198124	-4196.74352526407
79634	YP_177699.1	971.9007312495532	-4131.570142230092
79631	NP_218090.1	595.1412312129823	-4571.394897211991
79627	NP_218087.1	1287.307878335917	-4823.322953916579
79625	NP_218086.1	-759.7831491512125	-2755.434167078725
79623	NP_218085.1	818.4598279882157	-4484.724181393214
79621	NP_218084.1	728.5898106033801	-4820.123652350519
79618	NP_218063.1	1153.85929894552	-4574.59419877805
79613	NP_218059.1	455.71233007556384	-4405.235912403978
79611	NP_218058.1	529.8611488198258	-5087.02304168396
79609	NP_218057.1	1206.6340424198088	-5197.974325864499
79606	NP_218053.1	-571.1215403297028	-2893.038062838952
79604	NP_218052.1	-526.2711608426398	-2755.8655459018923
79602	NP_218051.1	-642.8704474665701	-2670.821661337674
79600	NP_218048.1	529.8611488198258	-4307.694809444608
79598	NP_218047.1	659.0948444776068	-4934.093861418517
79596	NP_218046.1	1125.3716449537997	-5016.311041820889
79594	NP_218044.1	1223.3542650712925	-4460.62398971005
79592	NP_218043.1	877.2709415098252	-4334.659961357757
79590	NP_218042.1	-643.0972367350187	-2793.58617864429
79587	NP_218040.1	1063.9892815606836	-4909.993669735353
79585	NP_218039.1	1063.9892815606845	-4484.724181393214
79583	NP_218038.1	818.4598279882157	-4697.358925564284
79581	NP_218037.1	404.26552335014185	-4516.4363627873145
79579	NP_218036.1	623.244863228937	-5166.343883654134
79577	NP_218035.1	1308.0464290683458	-5129.215021607203
79575	NP_218033.1	-715.439885884969	-2892.771456064208
79573	NP_218023.1	1455.4747394520045	-4459.441455190589
79569	NP_218020.1	731.4969546056727	-4170.982340905199
79567	NP_218019.1	572.9303744157469	-4697.358925564284
79565	NP_218018.1	877.2709415098243	-5060.057889770811
79563	NP_218017.1	1309.5187351331524	-4697.358925564284
79561	NP_218015.1	1005.1781680390741	-4334.659961357757
79559	NP_218014.1	728.5898106033801	-4574.59419877805
79557	NP_218013.1	818.4598279882157	-4909.993669735353
79555	NP_218012.1	1153.85929894552	-4820.123652350519
79553	NP_218011.1	941.2245547744496	-4451.829471991816
79551	NP_218010.1	879.8421913813327	-4803.6762976498185
79549	NP_218009.1	377.92632414702075	-4636.096551125115
79547	NP_217316.1	731.4969546056718	-5223.735510223369
79545	NP_217315.1	1392.3066325681293	-5040.262606272518
79541	NP_216411.1	1392.306632568133	-4354.4552448560535
79538	NP_216145.1	849.555675470815	-4138.203498409067
79536	NP_216144.1	659.0948444776068	-4460.62398971005
79534	NP_216143.1	757.0774645950978	-5016.311041820888
79532	NP_215944.1	1223.3542650712925	-4934.093861418519
79530	NP_215943.1	1125.3716449538015	-4378.406809307679
79528	NP_215942.1	757.0774645950987	-4378.406809307679
79521	NP_215578.1	1002.6069181675666	-4591.041553478749
79519	NP_215577.1	1002.6069181675666	-4803.6762976498185
79517	NP_215576.1	377.92632414702075	-4758.621300003453
79515	NP_215575.1	849.5556754708141	-5256.5143527195005
79513	NP_215470.1	1455.4747394520027	-4935.276395937983
79511	NP_215469.1	1507.8443348297506	-4697.358925564284
79509	NP_215468.1	1308.0464290683476	-4265.502829521367
79507	NP_215456.1	1092.811403110437	-4151.392440730755
79505	NP_215455.1	623.244863228937	-4228.373967474435
79503	NP_215442.1	595.1412312129823	-4823.322953916577
79501	NP_215441.1	1005.1781680390732	-5060.057889770811
79499	NP_215440.1	1287.307878335917	-4571.394897211991
79495	NP_215071.1	695.6951012019817	-4697.358925564284
79493	NP_215070.1	941.2245547744496	-4942.8883791367525
79491	NP_215069.1	1186.7540083469185	-4697.358925564284
79489	NP_215068.1	879.8421913813327	-4591.041553478749
79487	NP_215067.1	1063.9892815606845	-4697.358925564284
79485	NP_215066.1	404.26552335014185	-4878.281488341254
79482	NP_214737.1	1092.811403110435	-5243.325410397813
79478	NP_218091.3	941.2245547744496	-4697.358925564284
79476	NP_218066.1	1004.8853294883857	206.6410744357163
79465	NP_215722.1	938.8853294883857	62.64107443571629
79462	NP_218074.1	471.88532948838565	301.6410744357163
79459	NP_217959.1	-4365.114670511614	-3088.3589255642837
79458	NP_217960.1	-4105.114670511614	-3053.3589255642837
79406	NP_217933.1	108.88532948838565	-329.3589255642837
79402	NP_217874.1-NP_217875.1	-5817.114670511614	5645.020521784064
79400	NP_217876.1	-5764.114670511614	5564.020521784064
79398	NP_217875.1	-5911.114670511614	5641.020521784064
79396	NP_217874.1	-5860.114670511614	5561.020521784064
79385	NP_214936.1	814.8853294883857	-1625.3589255642837
79384	NP_217851.1	922.8853294883857	-1434.3589255642837
79382	YP_177917.1	1270.8853294883857	5020.641074435717
79377	YP_177769.1	2305.216364728826	3761.6116208632475
79373	YP_177686.1	2517.851108899894	4129.905801221951
79360	NP_218227.3	1102.8853294883857	4880.641074435717
79358	NP_218195.1	769.8853294883857	422.6410744357163
79355	NP_218182.1	2673.510545087528	4007.141074435717
79353	NP_218115.1	2007.2601138892433	4223.618962155707
79351	NP_217932.1	2182.4516379425922	4219.775818606785
79349	NP_217877.1	2059.6869111563565	4007.141074435717
79346	NP_217807.1	2182.4516379425922	3794.506330264646
79344	NP_217806.1	2517.851108899894	3884.3763476494814
79342	NP_217777.1	2550.745818301294	4007.141074435717
79340	NP_217745.1	-305.14517131046614	1954.3578619359369
79338	NP_217744.1	-222.61884403125623	2172.801081279812
79327	NP_217517.3	2427.98109151506	4007.141074435717
79321	NP_217180.1	2007.2601138892433	3790.6631867157275
79319	NP_217179.1	2092.5816205577567	4129.905801221951
