category	id_go	description_go
BIOLOGICAL_PROCESS	GO:0000041	transition metal ion transport
BIOLOGICAL_PROCESS	GO:0000103	sulfate assimilation
BIOLOGICAL_PROCESS	GO:0000105	histidine biosynthetic process
BIOLOGICAL_PROCESS	GO:0000160	phosphorelay signal transduction system
BIOLOGICAL_PROCESS	GO:0000162	tryptophan biosynthetic process
BIOLOGICAL_PROCESS	GO:0000256	allantoin catabolic process
BIOLOGICAL_PROCESS	GO:0000271	polysaccharide biosynthetic process
BIOLOGICAL_PROCESS	GO:0000272	polysaccharide catabolic process
BIOLOGICAL_PROCESS	GO:0000413	protein peptidyl-prolyl isomerization
BIOLOGICAL_PROCESS	GO:0000902	cell morphogenesis
BIOLOGICAL_PROCESS	GO:0000921	septin ring assembly
BIOLOGICAL_PROCESS	GO:0001510	RNA methylation
BIOLOGICAL_PROCESS	GO:0001514	selenocysteine incorporation
BIOLOGICAL_PROCESS	GO:0001522	pseudouridine synthesis
BIOLOGICAL_PROCESS	GO:0001558	regulation of cell growth
BIOLOGICAL_PROCESS	GO:0001907	killing by symbiont of host cells
BIOLOGICAL_PROCESS	GO:0002100	tRNA wobble adenosine to inosine editing
BIOLOGICAL_PROCESS	GO:0002143	tRNA wobble position uridine thiolation
BIOLOGICAL_PROCESS	GO:0002943	tRNA dihydrouridine synthesis
BIOLOGICAL_PROCESS	GO:0002949	tRNA threonylcarbamoyladenosine modification
BIOLOGICAL_PROCESS	GO:0003333	amino acid transmembrane transport
BIOLOGICAL_PROCESS	GO:0005975	carbohydrate metabolic process
BIOLOGICAL_PROCESS	GO:0005976	polysaccharide metabolic process
BIOLOGICAL_PROCESS	GO:0005978	glycogen biosynthetic process
BIOLOGICAL_PROCESS	GO:0005991	trehalose metabolic process
BIOLOGICAL_PROCESS	GO:0005992	trehalose biosynthetic process
BIOLOGICAL_PROCESS	GO:0005996	monosaccharide metabolic process
BIOLOGICAL_PROCESS	GO:0006002	fructose 6-phosphate metabolic process
BIOLOGICAL_PROCESS	GO:0006004	fucose metabolic process
BIOLOGICAL_PROCESS	GO:0006006	glucose metabolic process
BIOLOGICAL_PROCESS	GO:0006007	glucose catabolic process
BIOLOGICAL_PROCESS	GO:0006011	UDP-glucose metabolic process
BIOLOGICAL_PROCESS	GO:0006012	galactose metabolic process
BIOLOGICAL_PROCESS	GO:0006013	mannose metabolic process
BIOLOGICAL_PROCESS	GO:0006014	D-ribose metabolic process
BIOLOGICAL_PROCESS	GO:0006032	chitin catabolic process
BIOLOGICAL_PROCESS	GO:0006040	amino sugar metabolic process
BIOLOGICAL_PROCESS	GO:0006044	N-acetylglucosamine metabolic process
BIOLOGICAL_PROCESS	GO:0006048	UDP-N-acetylglucosamine biosynthetic process
BIOLOGICAL_PROCESS	GO:0006051	N-acetylmannosamine metabolic process
BIOLOGICAL_PROCESS	GO:0006064	glucuronate catabolic process
BIOLOGICAL_PROCESS	GO:0006069	ethanol oxidation
BIOLOGICAL_PROCESS	GO:0006071	glycerol metabolic process
BIOLOGICAL_PROCESS	GO:0006072	glycerol-3-phosphate metabolic process
BIOLOGICAL_PROCESS	GO:0006080	substituted mannan metabolic process
BIOLOGICAL_PROCESS	GO:0006081	cellular aldehyde metabolic process
BIOLOGICAL_PROCESS	GO:0006083	acetate metabolic process
BIOLOGICAL_PROCESS	GO:0006084	acetyl-CoA metabolic process
BIOLOGICAL_PROCESS	GO:0006090	pyruvate metabolic process
BIOLOGICAL_PROCESS	GO:0006094	gluconeogenesis
BIOLOGICAL_PROCESS	GO:0006096	glycolytic process
BIOLOGICAL_PROCESS	GO:0006097	glyoxylate cycle
BIOLOGICAL_PROCESS	GO:0006098	pentose-phosphate shunt
BIOLOGICAL_PROCESS	GO:0006099	tricarboxylic acid cycle
BIOLOGICAL_PROCESS	GO:0006102	isocitrate metabolic process
BIOLOGICAL_PROCESS	GO:0006106	fumarate metabolic process
BIOLOGICAL_PROCESS	GO:0006108	malate metabolic process
BIOLOGICAL_PROCESS	GO:0006109	regulation of carbohydrate metabolic process
BIOLOGICAL_PROCESS	GO:0006116	NADH oxidation
BIOLOGICAL_PROCESS	GO:0006139	nucleobase-containing compound metabolic process
BIOLOGICAL_PROCESS	GO:0006144	purine nucleobase metabolic process
BIOLOGICAL_PROCESS	GO:0006146	adenine catabolic process
BIOLOGICAL_PROCESS	GO:0006147	guanine catabolic process
BIOLOGICAL_PROCESS	GO:0006164	purine nucleotide biosynthetic process
BIOLOGICAL_PROCESS	GO:0006171	cAMP biosynthetic process
BIOLOGICAL_PROCESS	GO:0006177	GMP biosynthetic process
BIOLOGICAL_PROCESS	GO:0006188	IMP biosynthetic process
BIOLOGICAL_PROCESS	GO:0006189	'de novo' IMP biosynthetic process
BIOLOGICAL_PROCESS	GO:0006206	pyrimidine nucleobase metabolic process
BIOLOGICAL_PROCESS	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
BIOLOGICAL_PROCESS	GO:0006213	pyrimidine nucleoside metabolic process
BIOLOGICAL_PROCESS	GO:0006221	pyrimidine nucleotide biosynthetic process
BIOLOGICAL_PROCESS	GO:0006226	dUMP biosynthetic process
BIOLOGICAL_PROCESS	GO:0006231	dTMP biosynthetic process
BIOLOGICAL_PROCESS	GO:0006241	CTP biosynthetic process
BIOLOGICAL_PROCESS	GO:0006259	DNA metabolic process
BIOLOGICAL_PROCESS	GO:0006260	DNA replication
BIOLOGICAL_PROCESS	GO:0006261	DNA-templated DNA replication
BIOLOGICAL_PROCESS	GO:0006265	DNA topological change
BIOLOGICAL_PROCESS	GO:0006269	DNA replication, synthesis of RNA primer
BIOLOGICAL_PROCESS	GO:0006270	DNA replication initiation
BIOLOGICAL_PROCESS	GO:0006274	DNA replication termination
BIOLOGICAL_PROCESS	GO:0006275	regulation of DNA replication
BIOLOGICAL_PROCESS	GO:0006276	plasmid maintenance
BIOLOGICAL_PROCESS	GO:0006278	RNA-templated DNA biosynthetic process
BIOLOGICAL_PROCESS	GO:0006281	DNA repair
BIOLOGICAL_PROCESS	GO:0006282	regulation of DNA repair
BIOLOGICAL_PROCESS	GO:0006284	base-excision repair
BIOLOGICAL_PROCESS	GO:0006285	base-excision repair, AP site formation
BIOLOGICAL_PROCESS	GO:0006289	nucleotide-excision repair
BIOLOGICAL_PROCESS	GO:0006298	mismatch repair
BIOLOGICAL_PROCESS	GO:0006302	double-strand break repair
BIOLOGICAL_PROCESS	GO:0006303	double-strand break repair via nonhomologous end joining
BIOLOGICAL_PROCESS	GO:0006304	DNA modification
BIOLOGICAL_PROCESS	GO:0006306	DNA methylation
BIOLOGICAL_PROCESS	GO:0006307	DNA dealkylation involved in DNA repair
BIOLOGICAL_PROCESS	GO:0006308	DNA catabolic process
BIOLOGICAL_PROCESS	GO:0006310	DNA recombination
BIOLOGICAL_PROCESS	GO:0006313	transposition, DNA-mediated
BIOLOGICAL_PROCESS	GO:0006351	DNA-templated transcription
BIOLOGICAL_PROCESS	GO:0006352	DNA-templated transcription initiation
BIOLOGICAL_PROCESS	GO:0006353	DNA-templated transcription termination
BIOLOGICAL_PROCESS	GO:0006355	regulation of DNA-templated transcription
BIOLOGICAL_PROCESS	GO:0006364	rRNA processing
BIOLOGICAL_PROCESS	GO:0006396	RNA processing
BIOLOGICAL_PROCESS	GO:0006400	tRNA modification
BIOLOGICAL_PROCESS	GO:0006401	RNA catabolic process
BIOLOGICAL_PROCESS	GO:0006402	mRNA catabolic process
BIOLOGICAL_PROCESS	GO:0006412	translation
BIOLOGICAL_PROCESS	GO:0006413	translational initiation
BIOLOGICAL_PROCESS	GO:0006414	translational elongation
BIOLOGICAL_PROCESS	GO:0006415	translational termination
BIOLOGICAL_PROCESS	GO:0006418	tRNA aminoacylation for protein translation
BIOLOGICAL_PROCESS	GO:0006419	alanyl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006420	arginyl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006423	cysteinyl-tRNA aminoacylation
