id_row	id	md5	protein_len	method	id_method	description	start_loc	end_loc	score	status	date	interpro_access	interpro_description	type	GO
0	NP_389445.1	5bbc0913f819f38d27825a9e0a01d5ed	261	Pfam	PF01903	CbiX	10	114	1.3000000000000002e-28	T	08-02-2023	IPR002762	Sirohydrochlorin cobaltochelatase CbiX-like	FAMILY	GO:0016829
1	NP_389445.1	5bbc0913f819f38d27825a9e0a01d5ed	261	Pfam	PF01903	CbiX	134	234	7.200000000000001e-22	T	08-02-2023	IPR002762	Sirohydrochlorin cobaltochelatase CbiX-like	FAMILY	GO:0016829
2	NP_389445.1	5bbc0913f819f38d27825a9e0a01d5ed	261	PANTHER	PTHR33542	SIROHYDROCHLORIN FERROCHELATASE, CHLOROPLASTIC	2	243	2.4e-52	T	08-02-2023	NaN	NaN	NaN	NaN
3	NP_389445.1	5bbc0913f819f38d27825a9e0a01d5ed	261	CDD	cd03414	CbiX_SirB_C	129	242	5.55734e-44	T	08-02-2023	NaN	NaN	NaN	NaN
4	NP_389445.1	5bbc0913f819f38d27825a9e0a01d5ed	261	CDD	cd03416	CbiX_SirB_N	4	104	1.2888199999999998e-35	T	08-02-2023	NaN	NaN	NaN	NaN
5	NP_389445.1	5bbc0913f819f38d27825a9e0a01d5ed	261	SUPERFAMILY	SSF53800	Chelatase	2	241	8.829999999999999e-52	T	08-02-2023	NaN	NaN	NaN	NaN
6	NP_390268.2	85c20b260e7c9ad5cd979e84709ac315	414	Pfam	PF00817	impB/mucB/samB family	11	158	4.1e-50	T	08-02-2023	IPR001126	UmuC domain	DOMAIN	GO:0006281
7	NP_390268.2	85c20b260e7c9ad5cd979e84709ac315	414	FunFam	G3DSA:3.40.1170.60:FF:000001	DNA polymerase IV	25	78	6.1e-23	T	08-02-2023	NaN	NaN	NaN	NaN
8	NP_390268.2	85c20b260e7c9ad5cd979e84709ac315	414	PANTHER	PTHR11076	DNA REPAIR POLYMERASE UMUC / TRANSFERASE FAMILY MEMBER	4	371	1.8e-97	T	08-02-2023	NaN	NaN	NaN	NaN
9	NP_390268.2	85c20b260e7c9ad5cd979e84709ac315	414	FunFam	G3DSA:1.10.150.20:FF:000061	DNA polymerase IV	172	239	3.5e-31	T	08-02-2023	NaN	NaN	NaN	NaN
10	NP_390268.2	85c20b260e7c9ad5cd979e84709ac315	414	Pfam	PF11799	impB/mucB/samB family C-terminal domain	247	357	3.4e-21	T	08-02-2023	IPR017961	DNA polymerase, Y-family, little finger domain	DOMAIN	GO:0003684
10	NP_390268.2	85c20b260e7c9ad5cd979e84709ac315	414	Pfam	PF11799	impB/mucB/samB family C-terminal domain	247	357	3.4e-21	T	08-02-2023	IPR017961	DNA polymerase, Y-family, little finger domain	DOMAIN	GO:0006281
11	NP_390268.2	85c20b260e7c9ad5cd979e84709ac315	414	SUPERFAMILY	SSF56672	DNA/RNA polymerases	4	238	1.7799999999999998e-83	T	08-02-2023	IPR043502	DNA/RNA polymerase superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
12	NP_390268.2	85c20b260e7c9ad5cd979e84709ac315	414	SUPERFAMILY	SSF100879	Lesion bypass DNA polymerase (Y-family), little finger domain	245	343	3.53e-24	T	08-02-2023	IPR036775	DNA polymerase, Y-family, little finger domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0003684
12	NP_390268.2	85c20b260e7c9ad5cd979e84709ac315	414	SUPERFAMILY	SSF100879	Lesion bypass DNA polymerase (Y-family), little finger domain	245	343	3.53e-24	T	08-02-2023	IPR036775	DNA polymerase, Y-family, little finger domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0006281
13	NP_390268.2	85c20b260e7c9ad5cd979e84709ac315	414	CDD	cd03586	PolY_Pol_IV_kappa	9	345	0.0	T	08-02-2023	IPR022880	DNA polymerase IV	FAMILY	GO:0003887
14	NP_390268.2	85c20b260e7c9ad5cd979e84709ac315	414	Pfam	PF11798	IMS family HHH motif	173	201	2.1e-09	T	08-02-2023	IPR024728	DNA polymerase type-Y, HhH motif	CONSERVED_SITE	NaN
15	NP_388679.1	2555153c83bc52368915bb0852aec5a8	263	Pfam	PF01522	Polysaccharide deacetylase	62	184	6.5e-36	T	08-02-2023	IPR002509	NodB homology domain	DOMAIN	GO:0005975
15	NP_388679.1	2555153c83bc52368915bb0852aec5a8	263	Pfam	PF01522	Polysaccharide deacetylase	62	184	6.5e-36	T	08-02-2023	IPR002509	NodB homology domain	DOMAIN	GO:0016810
16	NP_388679.1	2555153c83bc52368915bb0852aec5a8	263	CDD	cd10948	CE4_BsPdaA_like	28	249	0.0	T	08-02-2023	IPR014235	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA	FAMILY	NaN
17	NP_388679.1	2555153c83bc52368915bb0852aec5a8	263	PANTHER	PTHR10587	GLYCOSYL TRANSFERASE-RELATED	59	255	3.3999999999999995e-53	T	08-02-2023	NaN	NaN	NaN	NaN
