id_protein	md5	seq_len	analysis	id_analysis	desc_analysis	start	stop	score	status	date	id_inter	desc_inter	id_go	type
NP_214802.1	50fe7eccf99177b354d5bf9c6db33654	96	SUPERFAMILY	SSF140453	EsxAB dimer-like	2	95	3.9200000000000006e-21	T	08-02-2023	IPR036689	ESAT-6-like superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_214802.1	50fe7eccf99177b354d5bf9c6db33654	96	Pfam	PF06013	Proteins of 100 residues with WXG	3	87	1.7e-16	T	08-02-2023	IPR010310	Type VII secretion system ESAT-6-like	NaN	FAMILY
NP_215253.1	8688bb96b235dbfce181644a2bbe63bf	268	Pfam	PF10774	Domain of unknown function (DUF4226)	5	110	4.4000000000000005e-27	T	08-02-2023	IPR019710	Protein of unknown function DUF4226	NaN	FAMILY
NP_216987.1	7abb51fe508385aa801182c9ae5b1e28	546	PANTHER	PTHR10357	ALPHA-AMYLASE FAMILY MEMBER	22	517	3.5e-120	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216987.1	7abb51fe508385aa801182c9ae5b1e28	546	SUPERFAMILY	SSF51445	(Trans)glycosidases	30	484	9.160000000000001e-124	T	08-02-2023	IPR017853	Glycoside hydrolase superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_216987.1	7abb51fe508385aa801182c9ae5b1e28	546	Pfam	PF00128	Alpha amylase, catalytic domain	54	399	9e-82	T	08-02-2023	IPR006047	Glycosyl hydrolase, family 13, catalytic domain	GO:0005975	DOMAIN
NP_216987.1	7abb51fe508385aa801182c9ae5b1e28	546	CDD	cd11332	AmyAc_OligoGlu_TS	30	471	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216987.1	7abb51fe508385aa801182c9ae5b1e28	546	FunFam	G3DSA:3.90.400.10:FF:000001	Maltase A3, isoform A	131	208	1.8e-25	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216549.1	42d200f92a389fa34b662a339ab89cae	280	Pfam	PF11296	Protein of unknown function (DUF3097)	4	275	2.3e-120	T	08-02-2023	IPR021447	Protein of unknown function DUF3097	NaN	FAMILY
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	Pfam	PF02310	B12 binding domain	618	733	4.8e-15	T	08-02-2023	IPR006158	Cobalamin (vitamin B12)-binding domain	GO:0031419	DOMAIN
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	Pfam	PF02310	B12 binding domain	618	733	4.8e-15	T	08-02-2023	IPR006158	Cobalamin (vitamin B12)-binding domain	GO:0046872	DOMAIN
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	SUPERFAMILY	SSF52242	Cobalamin (vitamin B12)-binding domain	582	746	6.410000000000001e-58	T	08-02-2023	IPR036724	Cobalamin-binding domain superfamily	GO:0031419	HOMOLOGOUS_SUPERFAMILY
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	SUPERFAMILY	SSF52242	Cobalamin (vitamin B12)-binding domain	582	746	6.410000000000001e-58	T	08-02-2023	IPR036724	Cobalamin-binding domain superfamily	GO:0046872	HOMOLOGOUS_SUPERFAMILY
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	CDD	cd03679	MM_CoA_mutase_alpha_like	42	576	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	FunFam	G3DSA:3.40.50.280:FF:000002	Methylmalonyl-CoA mutase, mitochondrial	603	748	4.8e-72	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	Pfam	PF01642	Methylmalonyl-CoA mutase	52	576	0.0	T	08-02-2023	IPR006099	Methylmalonyl-CoA mutase, alpha/beta chain, catalytic	GO:0016866	DOMAIN
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	Pfam	PF01642	Methylmalonyl-CoA mutase	52	576	0.0	T	08-02-2023	IPR006099	Methylmalonyl-CoA mutase, alpha/beta chain, catalytic	GO:0031419	DOMAIN
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	PANTHER	PTHR48101	METHYLMALONYL-COA MUTASE, MITOCHONDRIAL-RELATED	32	743	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	FunFam	G3DSA:3.20.20.240:FF:000001	Probable methylmalonyl-coa mutase	22	595	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	SUPERFAMILY	SSF51703	Cobalamin (vitamin B12)-dependent enzymes	37	578	0.0	T	08-02-2023	IPR016176	Cobalamin (vitamin B12)-dependent enzyme, catalytic	GO:0003824	HOMOLOGOUS_SUPERFAMILY
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	SUPERFAMILY	SSF51703	Cobalamin (vitamin B12)-dependent enzymes	37	578	0.0	T	08-02-2023	IPR016176	Cobalamin (vitamin B12)-dependent enzyme, catalytic	GO:0031419	HOMOLOGOUS_SUPERFAMILY
NP_216009.1	ad8e19acc4b84dfcb5670f03f360eb5c	750	CDD	cd02071	MM_CoA_mut_B12_BD	618	738	4.20433e-59	T	08-02-2023	NaN	NaN	NaN	NaN
YP_177694.1	58377e773713f54dc4a864ca5c1d5a6d	340	SUPERFAMILY	SSF53474	alpha/beta-Hydrolases	47	328	1.54e-38	T	08-02-2023	IPR029058	Alpha/Beta hydrolase fold	NaN	HOMOLOGOUS_SUPERFAMILY
YP_177694.1	58377e773713f54dc4a864ca5c1d5a6d	340	Pfam	PF00756	Putative esterase	61	322	9.200000000000001e-73	T	08-02-2023	IPR000801	Esterase-like	NaN	FAMILY
YP_177694.1	58377e773713f54dc4a864ca5c1d5a6d	340	PANTHER	PTHR48098	ENTEROCHELIN ESTERASE-RELATED	13	320	1.9e-32	T	08-02-2023	NaN	NaN	NaN	NaN
YP_177694.1	58377e773713f54dc4a864ca5c1d5a6d	340	FunFam	G3DSA:3.40.50.1820:FF:000086	Diacylglycerol acyltransferase/mycolyltransferase Ag85C	46	328	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218140.1	c32417540cbc95b2a8aa630655438279	240	FunFam	G3DSA:3.30.70.2970:FF:000003	Putative lipoprotein LpqG	50	160	2.4e-72	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218140.1	c32417540cbc95b2a8aa630655438279	240	PANTHER	PTHR34387	SLR1258 PROTEIN	1	239	6.8e-54	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218140.1	c32417540cbc95b2a8aa630655438279	240	Pfam	PF04402	Protein of unknown function (DUF541)	38	237	1.1e-41	T	08-02-2023	IPR007497	Interleukin-1 receptor-associated kinase 1-binding protein 1/DUF541	NaN	FAMILY
YP_177937.1	d97d234cdbf146ce63d6c9bde6d0f942	590	SUPERFAMILY	SSF140459	PE/PPE dimer-like	3	169	8.370000000000001e-57	T	08-02-2023	NaN	NaN	NaN	NaN
YP_177937.1	d97d234cdbf146ce63d6c9bde6d0f942	590	FunFam	G3DSA:1.20.1260.20:FF:000001	PPE family protein PPE41	1	174	2.1999999999999997e-62	T	08-02-2023	NaN	NaN	NaN	NaN
YP_177937.1	d97d234cdbf146ce63d6c9bde6d0f942	590	Pfam	PF01469	Pentapeptide repeats (8 copies)	210	249	1.8e-07	T	08-02-2023	IPR002989	Mycobacterial pentapeptide repeat	NaN	REPEAT
YP_177937.1	d97d234cdbf146ce63d6c9bde6d0f942	590	Pfam	PF01469	Pentapeptide repeats (8 copies)	448	483	1.2e-08	T	08-02-2023	IPR002989	Mycobacterial pentapeptide repeat	NaN	REPEAT
YP_177937.1	d97d234cdbf146ce63d6c9bde6d0f942	590	Pfam	PF01469	Pentapeptide repeats (8 copies)	260	299	1.2e-07	T	08-02-2023	IPR002989	Mycobacterial pentapeptide repeat	NaN	REPEAT
YP_177937.1	d97d234cdbf146ce63d6c9bde6d0f942	590	Pfam	PF01469	Pentapeptide repeats (8 copies)	190	229	5.2e-08	T	08-02-2023	IPR002989	Mycobacterial pentapeptide repeat	NaN	REPEAT
YP_177937.1	d97d234cdbf146ce63d6c9bde6d0f942	590	Pfam	PF01469	Pentapeptide repeats (8 copies)	250	288	6.3e-08	T	08-02-2023	IPR002989	Mycobacterial pentapeptide repeat	NaN	REPEAT
YP_177937.1	d97d234cdbf146ce63d6c9bde6d0f942	590	Pfam	PF01469	Pentapeptide repeats (8 copies)	378	416	5.4e-08	T	08-02-2023	IPR002989	Mycobacterial pentapeptide repeat	NaN	REPEAT
YP_177937.1	d97d234cdbf146ce63d6c9bde6d0f942	590	Pfam	PF01469	Pentapeptide repeats (8 copies)	339	376	4.3e-07	T	08-02-2023	IPR002989	Mycobacterial pentapeptide repeat	NaN	REPEAT
