id_protein	id_analysis	type
NP_460305.1	PF00216	FAMILY
NP_460305.1	G3DSA:4.10.520.10:FF:000002	NULL_TYPE
NP_460305.1	PTHR33175	FAMILY
NP_460305.1	cd13835	FAMILY
NP_460305.1	SSF47729	HOMOLOGOUS_SUPERFAMILY
NP_462916.1	PF13247	DOMAIN
NP_462916.1	G3DSA:1.20.5.480:FF:000001	NULL_TYPE
NP_462916.1	PF09163	DOMAIN
NP_462916.1	PTHR43545	NULL_TYPE
NP_462916.1	cd10558	FAMILY
NP_462916.1	SSF54862	NULL_TYPE
NP_490556.1	G3DSA:1.10.10.2830:FF:000001	NULL_TYPE
NP_490556.1	G3DSA:3.90.1530.30:FF:000003	NULL_TYPE
NP_490556.1	PF02195	DOMAIN
NP_490556.1	PTHR33375	NULL_TYPE
NP_490556.1	cd16406	NULL_TYPE
NP_490556.1	SSF109709	NULL_TYPE
NP_490556.1	SSF110849	HOMOLOGOUS_SUPERFAMILY
NP_461574.1	G3DSA:1.20.5.3960:FF:000001	NULL_TYPE
NP_461574.1	PF03872	DOMAIN
NP_461574.1	G3DSA:1.10.10.880:FF:000001	NULL_TYPE
NP_461574.1	PF03873	DOMAIN
NP_461574.1	PTHR38104	NULL_TYPE
NP_461574.1	cd16328	DOMAIN
NP_461574.1	SSF89069	HOMOLOGOUS_SUPERFAMILY
NP_459214.1	G3DSA:2.40.10.10:FF:000001	NULL_TYPE
NP_459214.1	PF00595	DOMAIN
NP_459214.1	G3DSA:2.30.42.10:FF:000050	NULL_TYPE
NP_459214.1	G3DSA:2.30.42.10:FF:000037	NULL_TYPE
NP_459214.1	G3DSA:2.40.10.120:FF:000001	NULL_TYPE
NP_459214.1	PF02163	DOMAIN
NP_459214.1	PF13365	NULL_TYPE
NP_459214.1	PTHR22939	NULL_TYPE
NP_459214.1	cd00987	NULL_TYPE
NP_459214.1	cd00987	NULL_TYPE
NP_459214.1	SSF50156	HOMOLOGOUS_SUPERFAMILY
NP_459214.1	SSF50494	HOMOLOGOUS_SUPERFAMILY
NP_459214.1	SSF50156	HOMOLOGOUS_SUPERFAMILY
NP_462707.1	PF06826	DOMAIN
NP_462707.1	PF02080	DOMAIN
NP_462707.1	G3DSA:3.30.70.1450:FF:000004	NULL_TYPE
NP_462707.1	PTHR30445	NULL_TYPE
NP_462707.1	SSF116726	HOMOLOGOUS_SUPERFAMILY
NP_462707.1	SSF116726	HOMOLOGOUS_SUPERFAMILY
NP_459896.1	PF05939	FAMILY
NP_459057.1	PF12431	DOMAIN
NP_459057.1	PF00072	DOMAIN
NP_459057.1	G3DSA:3.40.50.2300:FF:000057	NULL_TYPE
NP_459057.1	PTHR45526	FAMILY
NP_459057.1	cd19925	NULL_TYPE
NP_459057.1	SSF52172	HOMOLOGOUS_SUPERFAMILY
NP_460186.1	G3DSA:2.40.10.170:FF:000007	NULL_TYPE
NP_460186.1	PF02559	DOMAIN
NP_460186.1	G3DSA:3.90.1150.50:FF:000001	NULL_TYPE
NP_460186.1	PF00270	DOMAIN
NP_460186.1	PF03461	DOMAIN
NP_460186.1	PF17757	DOMAIN
NP_460186.1	G3DSA:3.40.50.300:FF:000546	NULL_TYPE
NP_460186.1	G3DSA:3.40.50.300:FF:000300	NULL_TYPE
NP_460186.1	G3DSA:3.30.2060.10:FF:000002	NULL_TYPE
NP_460186.1	PF00271	DOMAIN
NP_460186.1	PTHR47964	FAMILY
NP_460186.1	cd18810	NULL_TYPE
NP_460186.1	cd17991	NULL_TYPE
NP_460186.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_460186.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_460186.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_460186.1	SSF141259	HOMOLOGOUS_SUPERFAMILY
NP_460186.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_460186.1	SSF143517	HOMOLOGOUS_SUPERFAMILY
NP_463054.1	G3DSA:1.20.58.220:FF:000003	NULL_TYPE
NP_463054.1	PF02690	FAMILY
NP_463054.1	PTHR10010	FAMILY
NP_463054.1	SSF109755	NULL_TYPE
NP_459115.1	G3DSA:3.20.19.10:FF:000003	NULL_TYPE
NP_459115.1	PF00694	DOMAIN
NP_459115.1	PTHR43345	NULL_TYPE
NP_459115.1	cd01577	DOMAIN
NP_459115.1	SSF52016	NULL_TYPE
NP_460925.1	G3DSA:3.40.50.12240:FF:000002	NULL_TYPE
NP_460925.1	PF00006	DOMAIN
NP_460925.1	PF18269	DOMAIN
NP_460925.1	PTHR15184	NULL_TYPE
NP_460925.1	cd18117	NULL_TYPE
NP_460925.1	cd18114	NULL_TYPE
NP_460925.1	cd01136	NULL_TYPE
NP_460925.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_459833.1	PF00766	DOMAIN
NP_459833.1	G3DSA:3.40.50.620:FF:000166	NULL_TYPE
NP_459833.1	PF01012	DOMAIN
NP_459833.1	G3DSA:3.40.50.1220:FF:000001	NULL_TYPE
NP_459833.1	PTHR43153	FAMILY
NP_459833.1	cd01715	DOMAIN
NP_459833.1	SSF52402	NULL_TYPE
NP_459833.1	SSF52467	HOMOLOGOUS_SUPERFAMILY
NP_463437.1	G3DSA:3.40.50.300:FF:000183	NULL_TYPE
NP_463437.1	G3DSA:3.40.50.300:FF:000011	NULL_TYPE
NP_463437.1	PF12848	DOMAIN
NP_463437.1	PF00005	DOMAIN
NP_463437.1	PTHR43858	FAMILY
NP_463437.1	cd03221	NULL_TYPE
NP_463437.1	cd03221	NULL_TYPE
NP_463437.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_463437.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_460536.1	G3DSA:3.40.50.12440:FF:000001	NULL_TYPE
NP_460536.1	PF14710	DOMAIN
NP_460536.1	G3DSA:4.10.1200.10:FF:000001	NULL_TYPE
NP_460536.1	PF00384	DOMAIN
NP_460536.1	PF01568	DOMAIN
NP_460536.1	PTHR43105	NULL_TYPE
NP_460536.1	cd02776	DOMAIN
NP_460536.1	cd02750	NULL_TYPE
NP_460536.1	SSF50692	HOMOLOGOUS_SUPERFAMILY
NP_460536.1	SSF53706	NULL_TYPE
NP_461138.1	G3DSA:3.30.1130.10:FF:000001	NULL_TYPE
NP_461138.1	G3DSA:1.10.286.10:FF:000002	NULL_TYPE
NP_461138.1	PF01227	DOMAIN
NP_461138.1	PTHR11109	FAMILY
NP_461138.1	cd00642	NULL_TYPE
NP_461138.1	SSF55620	NULL_TYPE
NP_453700.1	PF09863	DOMAIN
NP_462219.1	PF13466	DOMAIN
NP_462219.1	PTHR35849	NULL_TYPE
NP_462219.1	cd07043	NULL_TYPE
NP_462219.1	SSF52091	HOMOLOGOUS_SUPERFAMILY
NP_462160.1	PF02595	FAMILY
NP_462160.1	PTHR21599	FAMILY
NP_462160.1	SSF110738	HOMOLOGOUS_SUPERFAMILY
NP_461064.1	PF03741	FAMILY
NP_461064.1	PF03471	DOMAIN
NP_461064.1	PF00571	DOMAIN
NP_461064.1	G3DSA:3.10.580.10:FF:000011	NULL_TYPE
NP_461064.1	G3DSA:3.30.465.10:FF:000007	NULL_TYPE
NP_461064.1	PTHR22777	NULL_TYPE
NP_461064.1	cd04590	DOMAIN
NP_461064.1	SSF54631	HOMOLOGOUS_SUPERFAMILY
NP_461064.1	SSF56176	HOMOLOGOUS_SUPERFAMILY
NP_459105.1	PF15942	FAMILY
NP_462099.1	PF06853	FAMILY
NP_462099.1	PTHR38774	FAMILY
