NP_250241.1|PA1550	96432ae5ac6425755c608d6b69f709f6	179	Pfam	PF05751	FixH	12	155	1.0E-38	T	05-02-2023	IPR008620	Nitrogen fixation protein FixH	-
NP_250539.1|PA1848	c1ae9e400c5ca82f5d8e24fe6312f4da	389	Pfam	PF07690	Major Facilitator Superfamily	252	380	2.3E-12	T	05-02-2023	IPR011701	Major facilitator superfamily	GO:0022857|GO:0055085
NP_250539.1|PA1848	c1ae9e400c5ca82f5d8e24fe6312f4da	389	Pfam	PF07690	Major Facilitator Superfamily	11	240	1.2E-9	T	05-02-2023	IPR011701	Major facilitator superfamily	GO:0022857|GO:0055085
NP_250539.1|PA1848	c1ae9e400c5ca82f5d8e24fe6312f4da	389	PANTHER	PTHR23534	MFS PERMEASE	6	386	5.5E-121	T	05-02-2023	-	-
NP_250539.1|PA1848	c1ae9e400c5ca82f5d8e24fe6312f4da	389	SUPERFAMILY	SSF103473	MFS general substrate transporter	5	384	9.02E-34	T	05-02-2023	IPR036259	MFS transporter superfamily	-
NP_252842.1|PA4153	7c4106dc74484479f6b3b642430af5bf	363	SUPERFAMILY	SSF50129	GroES-like	9	192	3.96E-51	T	05-02-2023	IPR011032	GroES-like superfamily	-
NP_252842.1|PA4153	7c4106dc74484479f6b3b642430af5bf	363	Pfam	PF00107	Zinc-binding dehydrogenase	194	320	5.6E-27	T	05-02-2023	IPR013149	Alcohol dehydrogenase-like, C-terminal	-
NP_252842.1|PA4153	7c4106dc74484479f6b3b642430af5bf	363	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	159	315	1.67E-38	T	05-02-2023	IPR036291	NAD(P)-binding domain superfamily	-
NP_252842.1|PA4153	7c4106dc74484479f6b3b642430af5bf	363	PANTHER	PTHR43161	SORBITOL DEHYDROGENASE	12	360	4.3E-92	T	05-02-2023	-	-
NP_252842.1|PA4153	7c4106dc74484479f6b3b642430af5bf	363	Pfam	PF13823	Alcohol dehydrogenase GroES-associated	11	28	2.4E-6	T	05-02-2023	IPR027399	Alcohol dehydrogenase GroES-associated	-
NP_252842.1|PA4153	7c4106dc74484479f6b3b642430af5bf	363	Pfam	PF08240	Alcohol dehydrogenase GroES-like domain	35	151	3.4E-32	T	05-02-2023	IPR013154	Alcohol dehydrogenase-like, N-terminal	-
NP_252842.1|PA4153	7c4106dc74484479f6b3b642430af5bf	363	CDD	cd08233	butanediol_DH_like	11	360	0.0	T	05-02-2023	-	-
NP_250339.1|PA1648	3d04ee04008895751bb3cbc2a26e069a	334	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	125	299	2.24E-50	T	05-02-2023	IPR036291	NAD(P)-binding domain superfamily	-
NP_250339.1|PA1648	3d04ee04008895751bb3cbc2a26e069a	334	CDD	cd05288	PGDH	6	332	0.0	T	05-02-2023	-	-
NP_250339.1|PA1648	3d04ee04008895751bb3cbc2a26e069a	334	PANTHER	PTHR43205	PROSTAGLANDIN REDUCTASE	6	333	1.7E-108	T	05-02-2023	IPR045010	Medium-chain dehydrogenase/reductase	GO:0016628
NP_250339.1|PA1648	3d04ee04008895751bb3cbc2a26e069a	334	Pfam	PF16884	N-terminal domain of oxidoreductase	7	114	5.3E-38	T	05-02-2023	IPR041694	Oxidoreductase, N-terminal domain	-
NP_250339.1|PA1648	3d04ee04008895751bb3cbc2a26e069a	334	SUPERFAMILY	SSF50129	GroES-like	5	144	4.71E-37	T	05-02-2023	IPR011032	GroES-like superfamily	-
NP_250339.1|PA1648	3d04ee04008895751bb3cbc2a26e069a	334	Pfam	PF00107	Zinc-binding dehydrogenase	159	292	2.8E-20	T	05-02-2023	IPR013149	Alcohol dehydrogenase-like, C-terminal	-
NP_250339.1|PA1648	3d04ee04008895751bb3cbc2a26e069a	334	FunFam	G3DSA:3.40.50.720:FF:000121	Prostaglandin reductase 2	127	303	3.4E-70	T	05-02-2023	-	-
NP_249119.1|PA0428	1618ac1360bfb98bf31e8a907a095c77	639	PANTHER	PTHR47959	ATP-DEPENDENT RNA HELICASE RHLE-RELATED	2	572	0.0	T	05-02-2023	-	-
NP_249119.1|PA0428	1618ac1360bfb98bf31e8a907a095c77	639	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	24	102	2.92E-5	T	05-02-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NP_249119.1|PA0428	1618ac1360bfb98bf31e8a907a095c77	639	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	80	365	3.4E-73	T	05-02-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NP_249119.1|PA0428	1618ac1360bfb98bf31e8a907a095c77	639	FunFam	G3DSA:3.40.50.300:FF:000108	ATP-dependent RNA helicase RhlE	1	215	5.9E-91	T	05-02-2023	-	-
NP_249119.1|PA0428	1618ac1360bfb98bf31e8a907a095c77	639	Pfam	PF00270	DEAD/DEAH box helicase	25	199	4.1E-45	T	05-02-2023	IPR011545	DEAD/DEAH box helicase domain	GO:0003676|GO:0005524
NP_249119.1|PA0428	1618ac1360bfb98bf31e8a907a095c77	639	CDD	cd18787	SF2_C_DEAD	224	353	5.56397E-60	T	05-02-2023	-	-
NP_249119.1|PA0428	1618ac1360bfb98bf31e8a907a095c77	639	FunFam	G3DSA:3.40.50.300:FF:000468	ATP-dependent RNA helicase RhlE	218	401	6.2E-94	T	05-02-2023	-	-
NP_249119.1|PA0428	1618ac1360bfb98bf31e8a907a095c77	639	Pfam	PF00271	Helicase conserved C-terminal domain	241	344	3.2E-26	T	05-02-2023	IPR001650	Helicase, C-terminal	-
NP_249119.1|PA0428	1618ac1360bfb98bf31e8a907a095c77	639	CDD	cd00268	DEADc	12	213	1.50766E-99	T	05-02-2023	-	-
NP_251817.1|PA3127	c6d3684162216b03f2cbe4156f9ed489	267	Pfam	PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	8	112	1.6E-4	T	05-02-2023	IPR004360	Glyoxalase/fosfomycin resistance/dioxygenase domain	-
NP_251817.1|PA3127	c6d3684162216b03f2cbe4156f9ed489	267	PANTHER	PTHR43877	-	120	265	7.4E-43	T	05-02-2023	-	-
NP_251817.1|PA3127	c6d3684162216b03f2cbe4156f9ed489	267	CDD	cd04301	NAT_SF	173	238	1.19249E-8	T	05-02-2023	-	-
NP_251817.1|PA3127	c6d3684162216b03f2cbe4156f9ed489	267	SUPERFAMILY	SSF55729	Acyl-CoA N-acyltransferases (Nat)	125	257	7.89E-19	T	05-02-2023	IPR016181	Acyl-CoA N-acyltransferase	-
NP_251817.1|PA3127	c6d3684162216b03f2cbe4156f9ed489	267	SUPERFAMILY	SSF54593	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	4	115	7.65E-25	T	05-02-2023	IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	-
NP_251817.1|PA3127	c6d3684162216b03f2cbe4156f9ed489	267	Pfam	PF00583	Acetyltransferase (GNAT) family	169	237	4.5E-8	T	05-02-2023	IPR000182	GNAT domain	GO:0016747
NP_251817.1|PA3127	c6d3684162216b03f2cbe4156f9ed489	267	CDD	cd08349	BLMA_like	5	115	1.64819E-46	T	05-02-2023	IPR000335	Bleomycin resistance protein	GO:0046677
NP_254235.1|PA5548	76a43792423fe47116b7dfb6654744df	401	SUPERFAMILY	SSF103473	MFS general substrate transporter	6	387	2.09E-54	T	05-02-2023	IPR036259	MFS transporter superfamily	-
NP_254235.1|PA5548	76a43792423fe47116b7dfb6654744df	401	PANTHER	PTHR43124	PURINE EFFLUX PUMP PBUE	17	395	6.7E-51	T	05-02-2023	-	-
NP_254235.1|PA5548	76a43792423fe47116b7dfb6654744df	401	Pfam	PF07690	Major Facilitator Superfamily	21	308	2.4E-35	T	05-02-2023	IPR011701	Major facilitator superfamily	GO:0022857|GO:0055085
NP_251981.1|PA3291	abb24787315cab829cc917e0b901426b	184	Pfam	PF11745	Protein of unknown function (DUF3304)	45	155	2.7E-34	T	05-02-2023	IPR021733	Protein of unknown function DUF3304	-
NP_253829.1|PA5142	8f5d0b66f103f03f1aed91af2ca0b5cf	213	SUPERFAMILY	SSF52317	Class I glutamine amidotransferase-like	2	209	2.22E-55	T	05-02-2023	IPR029062	Class I glutamine amidotransferase-like	-
NP_253829.1|PA5142	8f5d0b66f103f03f1aed91af2ca0b5cf	213	PANTHER	PTHR42701	IMIDAZOLE GLYCEROL PHOSPHATE SYNTHASE SUBUNIT HISH	3	208	3.2E-66	T	05-02-2023	IPR010139	Imidazole glycerol phosphate synthase, subunit H	GO:0000105|GO:0016763
NP_253829.1|PA5142	8f5d0b66f103f03f1aed91af2ca0b5cf	213	CDD	cd01748	GATase1_IGP_Synthase	5	207	1.30395E-103	T	05-02-2023	IPR010139	Imidazole glycerol phosphate synthase, subunit H	GO:0000105|GO:0016763
NP_253829.1|PA5142	8f5d0b66f103f03f1aed91af2ca0b5cf	213	FunFam	G3DSA:3.40.50.880:FF:000023	Imidazole glycerol phosphate synthase subunit HisH	2	212	3.1E-129	T	05-02-2023	-	-
NP_253829.1|PA5142	8f5d0b66f103f03f1aed91af2ca0b5cf	213	Pfam	PF00117	Glutamine amidotransferase class-I	7	207	2.1E-18	T	05-02-2023	IPR017926	Glutamine amidotransferase	-
NP_250628.1|PA1938	cb364b8f72b25537a1d27072185564d5	273	PANTHER	PTHR46889	TRANSPOSASE INSF FOR INSERTION SEQUENCE IS3B-RELATED	2	265	3.5E-73	T	05-02-2023	-	-
NP_250628.1|PA1938	cb364b8f72b25537a1d27072185564d5	273	Pfam	PF13276	HTH-like domain	29	81	2.0E-12	T	05-02-2023	IPR025948	HTH-like domain	-
NP_250628.1|PA1938	cb364b8f72b25537a1d27072185564d5	273	Pfam	PF00665	Integrase core domain	106	204	2.1E-25	T	05-02-2023	IPR001584	Integrase, catalytic core	GO:0015074
NP_250628.1|PA1938	cb364b8f72b25537a1d27072185564d5	273	SUPERFAMILY	SSF53098	Ribonuclease H-like	99	261	2.02E-41	T	05-02-2023	IPR012337	Ribonuclease H-like superfamily	-
NP_250301.1|PA1610	98c8393825506dc495d9f23416708f3c	171	PANTHER	PTHR30272	3-HYDROXYACYL-[ACYL-CARRIER-PROTEIN] DEHYDRATASE	28	159	2.2E-24	T	05-02-2023	IPR013114	Beta-hydroxydecanoyl thiol ester dehydrase, FabA/FabZ	-
NP_250301.1|PA1610	98c8393825506dc495d9f23416708f3c	171	Pfam	PF07977	FabA-like domain	28	157	3.5E-52	T	05-02-2023	IPR013114	Beta-hydroxydecanoyl thiol ester dehydrase, FabA/FabZ	-
NP_250301.1|PA1610	98c8393825506dc495d9f23416708f3c	171	FunFam	G3DSA:3.10.129.10:FF:000003	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	1	171	1.5E-102	T	05-02-2023	-	-
NP_250301.1|PA1610	98c8393825506dc495d9f23416708f3c	171	SUPERFAMILY	SSF54637	Thioesterase/thiol ester dehydrase-isomerase	2	168	4.97E-58	T	05-02-2023	IPR029069	HotDog domain superfamily	-
NP_250301.1|PA1610	98c8393825506dc495d9f23416708f3c	171	CDD	cd01287	FabA	26	165	2.36688E-67	T	05-02-2023	IPR010083	Beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabA	GO:0005737|GO:0006633|GO:0008693
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	Pfam	PF00072	Response regulator receiver domain	648	759	1.6E-23	T	05-02-2023	IPR001789	Signal transduction response regulator, receiver domain	GO:0000160
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	SUPERFAMILY	SSF50341	CheW-like	486	618	5.89E-25	T	05-02-2023	IPR036061	CheW-like domain superfamily	GO:0006935|GO:0007165
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	SUPERFAMILY	SSF55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase	303	485	1.31E-36	T	05-02-2023	IPR036890	Histidine kinase/HSP90-like ATPase superfamily	-
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	SUPERFAMILY	SSF47226	Histidine-containing phosphotransfer domain, HPT domain	8	105	4.58E-24	T	05-02-2023	IPR036641	HPT domain superfamily	GO:0000160
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	CDD	cd00088	HPT	8	103	2.81217E-16	T	05-02-2023	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain	GO:0000160
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	SUPERFAMILY	SSF52172	CheY-like	644	764	4.7E-31	T	05-02-2023	IPR011006	CheY-like superfamily	-
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	CDD	cd16916	HATPase_CheA-like	307	484	3.65314E-85	T	05-02-2023	-	-
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	Pfam	PF01627	Hpt domain	11	101	1.4E-14	T	05-02-2023	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain	GO:0000160
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	PANTHER	PTHR43395	SENSOR HISTIDINE KINASE CHEA	1	134	0.0	T	05-02-2023	-	-
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	CDD	cd19924	REC_CheV-like	648	748	2.81226E-43	T	05-02-2023	-	-
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	FunFam	G3DSA:3.30.565.10:FF:000016	Chemotaxis protein CheA, putative	300	486	1.5E-62	T	05-02-2023	-	-
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	Pfam	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	346	486	1.0E-13	T	05-02-2023	IPR003594	Histidine kinase/HSP90-like ATPase	-
