id_net	tf	tg	status	org_reference	id_net_reference	count_org_reference	string	tu_unit
1	WP_000003759.1	WP_000003759.1	Known	Myctu	535	1	F	1_tu
2	WP_000003759.1	WP_000019734.1	Known	Bacsu	809	1	F	1_tu
3_new	WP_000003759.1	WP_000989121.1	New	Bacsu	2511	1	NOT_STRAND	NOT_TU_REFER
4_new	WP_000003870.1	WP_000003870.1	New	Bacsu,Myctu	266,1708	2	F	2_tu
3	WP_000003870.1	WP_000654067.1	Known	Bacsu	1323	1	F	3_tu
4	WP_000003870.1	WP_000767028.1	Known	Bacsu,Myctu	1320,1704	2	F	4_tu
5	WP_000003870.1	WP_000998557.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	3_tu
6	WP_000003870.1	WP_001016166.1	Known	Bacsu,Myctu	264,1703	2	F	4_tu
7	WP_000003870.1	WP_001040248.1	Known	Bacsu	1322	1	F	3_tu
8	WP_000003870.1	WP_001126259.1	Known	Bacsu,Myctu	1319,1706	2	F	4_tu
9	WP_000003870.1	WP_001178619.1	Known	Bacsu	265	1	F	4_tu
10	WP_000003870.1	WP_001190913.1	Known	Bacsu,Myctu	1318,1705	2	F	4_tu
11	WP_000049921.1	WP_000146747.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	5_tu
12	WP_000049921.1	WP_000200956.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	6_tu
13	WP_000049921.1	WP_000208742.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	7_tu
14	WP_000049921.1	WP_000286875.1	Known	Bacsu	45	1	R	6_tu
15	WP_000049921.1	WP_000671099.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	NOT_STRAND	NOT_TU_REFER
16	WP_000049921.1	WP_000971550.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	6_tu
17	WP_000049921.1	WP_001046645.1	Known	Bacsu,Ecoli	699,360	2	R	6_tu
18	WP_000049921.1	WP_001070676.1	Known	Bacsu	2558	1	NOT_STRAND	NOT_TU_REFER
19	WP_000049921.1	WP_001100835.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	NOT_STRAND	NOT_TU_REFER
20	WP_000049921.1	WP_001110061.1	Known	Bacsu,Ecoli	703,359	2	R	6_tu
21	WP_000049921.1	WP_001165058.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	NOT_STRAND	NOT_TU_REFER
22	WP_000049921.1	WP_001217926.1	Known	Bacsu,Ecoli	700,362	2	R	6_tu
23	WP_000055337.1	WP_000005212.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	15_tu
17_new	WP_000055337.1	WP_000008673.1	New	Bacsu	1546	1	NOT_STRAND	NOT_TU_REFER
18_new	WP_000055337.1	WP_000027919.1	New	Bacsu	2289	1	NOT_STRAND	NOT_TU_REFER
24	WP_000055337.1	WP_000030072.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	NOT_STRAND	NOT_TU_REFER
25	WP_000055337.1	WP_000037322.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	37_tu
19_new	WP_000055337.1	WP_000040063.1	New	Bacsu	586	1	R	8_tu
26	WP_000055337.1	WP_000047811.1	Known	Bacsu	182	1	F	74_tu
21_new	WP_000055337.1	WP_000049145.1	New	Bacsu,Bacsu,Bacsu	1066,1373,1379	1	R	9_tu
