id_net	tf	tg	status	org_reference	id_net_reference	count_org_reference	string	tu_unit
1_new	NP_064721.1	NP_064721.1	New	Bacsu,Ecoli,Ecoli,Salmon	481,1280,1281,247	3	F	1_tu
2_new	NP_064721.1	NP_064722.1	New	Bacsu,Ecoli,Ecoli,Salmon	1979,1282,1283,246	3	F	1_tu
3_new	NP_064721.1	NP_064723.1	New	Ecoli,Ecoli,Salmon	1291,1292,245	2	F	1_tu
4_new	NP_064721.1	NP_064724.1	New	Salmon	244	1	F	1_tu
5_new	NP_064721.1	NP_249067.1	New	Ecoli,Salmon	1294,243	2	F	2_tu
2_tu	NP_064721.1	NP_249068.1	New	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	2_tu
6_new	NP_064721.1	NP_249847.1	New	Ecoli,Ecoli	1286,1287	1	R	3_tu
7_new	NP_064721.1	NP_251828.1	New	Ecoli	1295	1	R	4_tu
8_new	NP_064721.1	NP_252458.1	New	Ecoli	1284	1	R	5_tu
9_new	NP_064721.1	NP_252459.1	New	Ecoli	1285	1	R	6_tu
10_new	NP_064721.1	NP_252693.1	New	Bacsu	1936	1	NOT_STRAND	NOT_TU_REFER
11_new	NP_064721.1	NP_253451.1	New	Ecoli	1293	1	F	7_tu
12_new	NP_064721.1	NP_254180.1	New	Ecoli,Salmon	1290,248	2	R	8_tu
13_new	NP_248724.1	NP_248724.1	New	Ecoli,Salmon	1322,473	2	NOT_STRAND	NOT_TU_REFER
14_new	NP_248724.1	NP_249137.1	New	Ecoli	1333	1	R	9_tu
15_new	NP_248724.1	NP_250487.1	New	Salmon	471	1	R	10_tu
16_new	NP_248724.1	NP_251567.1	New	Salmon	487	1	R	11_tu
17_new	NP_248724.1	NP_252635.1	New	Ecoli	1323	1	R	12_tu
18_new	NP_248724.1	NP_253506.1	New	Salmon	475	1	NOT_STRAND	NOT_TU_REFER
19_new	NP_248724.1	NP_253868.1	New	Ecoli	1331	1	NOT_STRAND	NOT_TU_REFER
1100	NP_248727.1	NP_248725.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	13_tu
1101	NP_248727.1	NP_248726.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	13_tu
312,313	NP_248823.1	NP_248823.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	14_tu
20_new	NP_248845.1	NP_251821.1	New	Ecoli,Salmon	2299,2657	2	NOT_STRAND	NOT_TU_REFER
21_new	NP_248845.1	NP_251884.1	New	Ecoli,Salmon	2300,2658	2	R	15_tu
