id_protein	id_analysis	type
NP_214802.1	PF06013	FAMILY
NP_214802.1	SSF140453	HOMOLOGOUS_SUPERFAMILY
NP_215253.1	PF10774	FAMILY
NP_216987.1	PF00128	DOMAIN
NP_216987.1	G3DSA:3.90.400.10:FF:000001	NULL_TYPE
NP_216987.1	PTHR10357	NULL_TYPE
NP_216987.1	cd11332	NULL_TYPE
NP_216987.1	SSF51445	HOMOLOGOUS_SUPERFAMILY
NP_216549.1	PF11296	FAMILY
NP_216009.1	PF02310	DOMAIN
NP_216009.1	G3DSA:3.40.50.280:FF:000002	NULL_TYPE
NP_216009.1	PF01642	DOMAIN
NP_216009.1	G3DSA:3.20.20.240:FF:000001	NULL_TYPE
NP_216009.1	PTHR48101	NULL_TYPE
NP_216009.1	cd03679	NULL_TYPE
NP_216009.1	cd02071	NULL_TYPE
NP_216009.1	SSF52242	HOMOLOGOUS_SUPERFAMILY
NP_216009.1	SSF51703	HOMOLOGOUS_SUPERFAMILY
YP_177694.1	PF00756	FAMILY
YP_177694.1	G3DSA:3.40.50.1820:FF:000086	NULL_TYPE
YP_177694.1	PTHR48098	NULL_TYPE
YP_177694.1	SSF53474	HOMOLOGOUS_SUPERFAMILY
NP_218140.1	G3DSA:3.30.70.2970:FF:000003	NULL_TYPE
NP_218140.1	PF04402	FAMILY
NP_218140.1	PTHR34387	NULL_TYPE
YP_177937.1	G3DSA:1.20.1260.20:FF:000001	NULL_TYPE
YP_177937.1	PF01469	REPEAT
YP_177937.1	PF00823	DOMAIN
YP_177937.1	PTHR46766	NULL_TYPE
YP_177937.1	SSF140459	NULL_TYPE
NP_216567.1	PF00795	DOMAIN
NP_216567.1	PF00535	DOMAIN
NP_216567.1	G3DSA:3.90.550.10:FF:000122	NULL_TYPE
NP_216567.1	PF20154	DOMAIN
NP_216567.1	PTHR38686	FAMILY
NP_216567.1	cd07571	FAMILY
NP_216567.1	cd06442	FAMILY
NP_216567.1	SSF53448	HOMOLOGOUS_SUPERFAMILY
NP_216567.1	SSF56317	HOMOLOGOUS_SUPERFAMILY
NP_217043.1	PF01850	DOMAIN
NP_217043.1	PTHR33653	NULL_TYPE
NP_217043.1	SSF88723	HOMOLOGOUS_SUPERFAMILY
NP_216584.1	G3DSA:3.40.710.10:FF:000033	NULL_TYPE
NP_216584.1	PF13354	DOMAIN
NP_216584.1	PTHR35333	FAMILY
NP_216584.1	SSF56601	HOMOLOGOUS_SUPERFAMILY
NP_216560.1	PF10861	FAMILY
NP_217254.1	PF11248	FAMILY
NP_217691.1	PF01425	DOMAIN
NP_217691.1	PTHR43372	NULL_TYPE
NP_217691.1	SSF75304	HOMOLOGOUS_SUPERFAMILY
NP_215280.1	PF00067	FAMILY
NP_215280.1	G3DSA:1.10.630.10:FF:000018	NULL_TYPE
NP_215280.1	PTHR46696	NULL_TYPE
NP_215280.1	cd11078	NULL_TYPE
NP_215280.1	SSF48264	HOMOLOGOUS_SUPERFAMILY
NP_217126.1	PF13692	NULL_TYPE
NP_217126.1	PF13439	DOMAIN
NP_217126.1	G3DSA:3.40.50.2000:FF:000207	NULL_TYPE
NP_217126.1	PTHR45947	NULL_TYPE
NP_217126.1	cd03801	NULL_TYPE
NP_217126.1	SSF53756	NULL_TYPE
NP_215854.1	G3DSA:3.40.50.1860:FF:000001	NULL_TYPE
NP_215854.1	PF01177	FAMILY
NP_215854.1	PTHR21198	NULL_TYPE
NP_215854.1	SSF53681	HOMOLOGOUS_SUPERFAMILY
NP_215854.1	SSF53681	HOMOLOGOUS_SUPERFAMILY
NP_216814.1	PF00248	DOMAIN
NP_216814.1	PTHR43625	NULL_TYPE
NP_216814.1	cd19093	NULL_TYPE
NP_216814.1	SSF51430	HOMOLOGOUS_SUPERFAMILY
YP_178001.1	PF00934	DOMAIN
YP_178001.1	SSF140459	NULL_TYPE
NP_214997.1	G3DSA:2.60.40.3780:FF:000001	NULL_TYPE
NP_214997.1	G3DSA:2.40.440.10:FF:000009	NULL_TYPE
NP_214997.1	PF17964	DOMAIN
NP_214997.1	PF03734	DOMAIN
NP_214997.1	PTHR30582	NULL_TYPE
NP_214997.1	cd13432	NULL_TYPE
NP_214997.1	cd16913	DOMAIN
NP_214997.1	cd13431	NULL_TYPE
NP_214997.1	SSF141523	HOMOLOGOUS_SUPERFAMILY
NP_218298.1	G3DSA:3.40.50.300:FF:001260	NULL_TYPE
NP_218298.1	PF00005	DOMAIN
NP_218298.1	PTHR46743	NULL_TYPE
NP_218298.1	cd03220	DOMAIN
NP_218298.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_214856.1	PF00350	DOMAIN
NP_214856.1	PTHR43681	NULL_TYPE
NP_214856.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_218030.1	G3DSA:3.30.300.30:FF:000032	NULL_TYPE
NP_218030.1	PF13193	DOMAIN
NP_218030.1	PTHR43201	NULL_TYPE
NP_218030.1	SSF56801	NULL_TYPE
NP_217051.1	PF01321	DOMAIN
NP_217051.1	PF00557	DOMAIN
NP_217051.1	PTHR46112	NULL_TYPE
NP_217051.1	SSF55920	HOMOLOGOUS_SUPERFAMILY
NP_217051.1	SSF53092	HOMOLOGOUS_SUPERFAMILY
NP_216667.1	PF08478	DOMAIN
NP_216667.1	G3DSA:3.10.20.310:FF:000021	NULL_TYPE
NP_216667.1	PF03799	DOMAIN
NP_216667.1	PTHR37820	NULL_TYPE
NP_216503.1	PF00553	DOMAIN
NP_216503.1	SSF49384	HOMOLOGOUS_SUPERFAMILY
NP_218250.1	PF00293	DOMAIN
NP_218250.1	PTHR21340	NULL_TYPE
NP_218250.1	cd04662	NULL_TYPE
NP_218250.1	SSF55811	HOMOLOGOUS_SUPERFAMILY
YP_007410917.1	PTHR36173	NULL_TYPE
NP_215614.1	G3DSA:1.10.40.30:FF:000008	NULL_TYPE
NP_215614.1	G3DSA:1.20.200.10:FF:000001	NULL_TYPE
NP_215614.1	G3DSA:1.10.275.10:FF:000001	NULL_TYPE
NP_215614.1	PF10415	DOMAIN
NP_215614.1	PF00206	DOMAIN
NP_215614.1	PTHR11444	FAMILY
NP_215614.1	cd01362	FAMILY
NP_215614.1	SSF48557	HOMOLOGOUS_SUPERFAMILY
NP_214927.1	PF00293	DOMAIN
NP_214927.1	PTHR43046	NULL_TYPE
NP_214927.1	SSF55811	HOMOLOGOUS_SUPERFAMILY
NP_217013.1	PF00676	DOMAIN
NP_217013.1	PTHR43380	NULL_TYPE
NP_217013.1	cd02000	NULL_TYPE
NP_217013.1	SSF52518	HOMOLOGOUS_SUPERFAMILY
NP_218042.1	PF00132	REPEAT
NP_218042.1	PTHR13061	NULL_TYPE
NP_218042.1	cd04645	NULL_TYPE
NP_218042.1	SSF51161	HOMOLOGOUS_SUPERFAMILY
NP_216415.1	PF01661	DOMAIN
NP_216415.1	PTHR11106	NULL_TYPE
NP_216415.1	SSF52949	HOMOLOGOUS_SUPERFAMILY
NP_217773.1	SSF53697	HOMOLOGOUS_SUPERFAMILY
NP_214734.1	G3DSA:3.40.50.1820:FF:000135	NULL_TYPE
NP_214734.1	PF20434	NULL_TYPE
NP_214734.1	PTHR48081	NULL_TYPE
NP_214734.1	SSF53474	HOMOLOGOUS_SUPERFAMILY
NP_217339.1	G3DSA:3.30.70.270:FF:000127	NULL_TYPE
NP_217339.1	PF18211	DOMAIN
NP_217339.1	PTHR36528	NULL_TYPE
NP_217339.1	cd09680	FAMILY
NP_215105.1	PF02470	DOMAIN
NP_215105.1	PF11887	DOMAIN
NP_215105.1	PTHR33371	NULL_TYPE
NP_218084.1	G3DSA:2.30.110.10:FF:000017	NULL_TYPE
NP_218084.1	PF01613	DOMAIN
NP_218084.1	PTHR30466	NULL_TYPE
NP_218084.1	SSF50475	NULL_TYPE
NP_214993.1	PF11209	FAMILY
NP_215813.1	PF07498	DOMAIN
NP_215813.1	G3DSA:3.40.50.300:FF:000072	NULL_TYPE
NP_215813.1	PF00006	DOMAIN
NP_215813.1	PF07497	DOMAIN
NP_215813.1	G3DSA:2.40.50.140:FF:000316	NULL_TYPE
NP_215813.1	PTHR46425	FAMILY
NP_215813.1	cd01128	DOMAIN
NP_215813.1	SSF68912	HOMOLOGOUS_SUPERFAMILY
NP_215813.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_215813.1	SSF50249	HOMOLOGOUS_SUPERFAMILY
NP_215945.1	PF17853	DOMAIN
NP_215945.1	PF13556	DOMAIN
NP_215945.1	PTHR33744	NULL_TYPE
NP_216922.1	PF00571	DOMAIN
NP_216922.1	PTHR43080	NULL_TYPE
NP_216922.1	cd04623	DOMAIN
NP_216922.1	SSF54631	HOMOLOGOUS_SUPERFAMILY
NP_217557.1	G3DSA:3.40.50.300:FF:001031	NULL_TYPE
NP_217557.1	PF00005	DOMAIN
NP_217557.1	PTHR43158	NULL_TYPE
NP_217557.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_217727.1	PF00271	DOMAIN
NP_217727.1	G3DSA:3.40.50.300:FF:001952	NULL_TYPE
NP_217727.1	G3DSA:3.40.50.300:FF:001060	NULL_TYPE
NP_217727.1	PF00270	DOMAIN
NP_217727.1	PTHR47963	NULL_TYPE
NP_217727.1	cd00268	NULL_TYPE
NP_217727.1	cd18787	NULL_TYPE
NP_217727.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_214903.1	PF02222	DOMAIN
NP_214903.1	PTHR43055	NULL_TYPE
NP_214903.1	SSF52440	HOMOLOGOUS_SUPERFAMILY
NP_214903.1	SSF56059	NULL_TYPE
NP_215401.1	G3DSA:3.50.50.60:FF:000229	NULL_TYPE
NP_215401.1	PF07992	DOMAIN
NP_215401.1	PF00037	DOMAIN
NP_215401.1	PTHR11938	NULL_TYPE
NP_215401.1	cd04410	NULL_TYPE
NP_215401.1	SSF51971	NULL_TYPE
NP_215401.1	SSF54862	NULL_TYPE
NP_215217.1	PF00276	FAMILY
NP_215217.1	G3DSA:3.30.70.330:FF:000001	NULL_TYPE
NP_215217.1	PTHR11620	FAMILY
NP_215217.1	SSF54189	HOMOLOGOUS_SUPERFAMILY
NP_215343.1	PF00383	DOMAIN
NP_215343.1	G3DSA:3.40.140.10:FF:000093	NULL_TYPE
NP_215343.1	PTHR11079	NULL_TYPE
NP_215343.1	SSF53927	HOMOLOGOUS_SUPERFAMILY
YP_177884.1	PF02502	FAMILY
YP_177884.1	G3DSA:3.40.1400.10:FF:000002	NULL_TYPE
